ID;x-coordinate;y-coordinate;cell_x;cell_y;municipality;purpose;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;annual_average;layer;Name
2002/119-0;415784.08;5322886.33;389;60;Gundelfingen;Beregnung;5403;6591;5291;5696;7433;5622;7693;8299;8055;7133;6869;18.45205479;2;
2003/020-0;398275.1;5309874.53;38;320;Hartheim am Rhein;Beregnung;88375;38632;111885;93507;95793;152734;109780;139159;72589;88094;141593;281.9778082;2;
2003/070-9;401498.81;5310784.16;103;302;Bad Krozingen;Kuehlwasserversorgung;25532;27950;25316;19810;22146;18534;21464;16074;20238;23788;30316;62.55753425;2;
2004/020-6;398283.09;5310894.11;39;300;Hartheim am Rhein;Brauchwasserversorgung Industrie/Gewerbe;44077;36377;36297;32531;67045;84067;77921;56326;87054;115511;74109;177.1643836;2;
2004/070-4;406229.9;5308647.01;197;345;Ehrenkirchen;Brauchwasserversorgung Industrie/Gewerbe;1220;459;702;335;744;908;1017;1454;971;1289;770;2.458082192;2;
2005/020-1;398145.15;5309904.52;36;320;Hartheim am Rhein;Brauchwasserversorgung Industrie/Gewerbe;76633;66332;53773;92497;105004;153170;135655;135434;110644;123895;117813;291.6189041;2;
2008/119-3;415773.07;5320800.13;388;102;Gundelfingen;Beregnung Sport- und Freizeitanlagen;2166;1021;951;2049;3057;1974;1621;2057;1402;2806;2237;5.315342466;2;
2013/071-8;411739.69;5299690.62;308;524;Muenstertal/ Schwarzwald;oeffentliche Wasserversorgung;24913;24476;22982;25296;26315;24522;31000;28602;33938;25326;26352;73.15616438;2;
2017/020-9;398383.03;5314482.66;41;228;Breisach am Rhein;Beregnung;7868;9760;33540;32850;27505;43390;29300;28440;5460;52860;45700;78.87260274;2;
2020/169-0;432691.44;5318086.26;727;156;Sankt Maergen;Eigenwasserversorgung;1447;1365;366;565;720;940;595;240;466;0;93;1.692876712;2;
2021/169-6;428563.03;5319420.68;644;129;Sankt Peter;Eigenwasserversorgung;1889;1518;1604;1615;1630;1423;1358;1000;1084;1246;1198;3.876712329;2;
2026/170-2;432486.47;5314402.71;723;230;Sankt Maergen;Eigenwasserversorgung;396;458;444;416;417;409;432;475;273;304;336;1.086027397;2;
203/020-9;398005.17;5315212.37;33;214;Breisach am Rhein;Betriebswasserversorgung mit Trinkwasserqualitaet;1645;1647;13661;4099;3230;2669;352;667;669;15354;3254;11.76767123;2;
2030/170-6;434856.54;5313191.19;770;254;Sankt Maergen;Eigenwasserversorgung;319;335;388;408;448;374;400;418;534;490;484;1.145205479;2;
2031/071-0;411592.75;5302642.43;305;465;Muenstertal/ Schwarzwald;oeffentliche Wasserversorgung;46631;32858;37458;29405;36405;34410;25632;25601;29038;21102;22986;85.06246575;2;
2032/071-5;404561.55;5303615.03;164;446;Staufen im Breisgau;Waermepumpe (Entnahmestelle) ausgefuehrt;1149;4860;5352;2420;4993;4406;4385;6445;5438;5807;4875;12.48575342;2;
2039/170-5;427703.36;5313061.24;627;257;Buchenbach;oeffentliche Wasserversorgung;23503;17731;19189;22001;8912;11626;5312;3038;10198;4384;5350;32.68849315;3;
2043/071-7;405201.3;5303926.9;177;439;Staufen im Breisgau;Schadensfallerkundung/-sanierung;54113;51343;42483;36970;35532;30777;28435;24653;22296;20307;16601;90.53808219;2;
2044/071-2;405229.29;5303913.9;177;440;Staufen im Breisgau;Schadensfallerkundung/-sanierung;71827;59330;42447;30961;24197;16377;14439;15491;15889;20429;14075;81.06164384;2;
2048/020-3;398686.92;5311080.04;47;296;Hartheim am Rhein;Beregnung;13870;11740;41190;30040;33250;40710;41770;37580;41500;74590;12.6;91.22109589;2;
2050/071-7;411584.75;5302648.43;305;465;Muenstertal/ Schwarzwald;oeffentliche Wasserversorgung;369144;352338;312325;346400;348357;313901;378004;354090;379136;334423;342827;954.1580822;2;
2057/020-4;400000.41;5308055.24;73;357;Bad Krozingen;Beregnung;69507;39864;127659;91379;120247;128062;134553;175549;102539;203126;179393;341.6882192;2;
206/020-5;398753.88;5312706.38;48;264;Breisach am Rhein;Beregnung;26010;11360;17910;20100;26460;28370;9410;9900;1140;28250;2124;45.08931507;2;
2065/020-0;400193.31;5306481.86;77;388;Bad Krozingen;Beregnung;5928;1652;6585;3349;7214;11903;10906;10492;3074;7181;6538;18.63561644;2;
2069/020-1;398780.89;5307818.32;48;362;Bad Krozingen;Beregnung;60816;41982;131046;111736;84971;159632;106784;126403;54119;120713;112923;276.7435616;2;
207/020-0;398974.81;5314091.82;52;236;Breisach am Rhein;Beregnung;23287;5550;6750;20500;20500;18800;5280;8624.021;3850;10968;27306;37.71232877;2;
2070/020-9;398857.86;5307985.26;50;358;Bad Krozingen;Beregnung;105798;13573;136234;107720;82442;171667;116183;115593;29307;162842;105987;285.7649315;2;
2092/020-2;397914.21;5314812.53;31;222;Breisach am Rhein;Betriebswasserversorgung mit Trinkwasserqualitaet;50;89;37;61;52;87;60;59;48;46;47;0.158356164;2;
2093/020-8;397831.24;5314833.52;29;221;Breisach am Rhein;Brauchwasserversorgung Industrie/Gewerbe;180;128;210;244;387;323;505;703;404;228;272;0.89260274;2;
2095/020-9;397803.28;5310545.25;29;307;Hartheim am Rhein;Waermepumpe (Entnahmestelle) ausgefuehrt;12522;9224;11540;11163;12259;13654;12567;12145;12743;17678;21000;36.48684932;2;
2101/020-7;400330.27;5314979.45;79;218;Breisach am Rhein;Waermepumpe (Entnahmestelle) ausgefuehrt;6995;6500;6320;6635;5600;6067;7133;5900;7100;1626;6704;16.58273973;2;
2104/020-3;398487;5310980.08;43;298;Hartheim am Rhein;Brauchwasserversorgung Industrie/Gewerbe;1026;688;531;524;566;420;451;366;264;602;734;1.537260274;2;
2106/020-4;398697.92;5309958.5;47;319;Hartheim am Rhein;Waermepumpe (Entnahmestelle) ausgefuehrt;32197;24352;39977;26979;27901;31366;37745;22996;27316;28655;32397;82.66027397;2;
