model_run;-8_1;-7_1;-6_1;-5_1;-4_1;1-3_1;1.8-3_1;3-3_1;4-3_1;-8_2;-7_2;-6_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
10;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0;8.479832389392342;-1.441775631637256;19.89756338148708;11.887363591471626;-3.1507944214341723;-0.16837749553548675;-0.3215220538439984;0.3076923076923077
11;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.1;0;67.2214481634128;30.435598416417633;76.13008427834055;30.435598416417633;-15.490521604309757;-0.23202508574958158;-0.4479830122519368;0.05128205128205128
12;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.2;0;67.20711756885687;30.426883146683224;76.13989121741693;30.426883146683224;-15.488247833902006;-0.23202508574958158;-0.4480069979024515;0.05128205128205128
13;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.3;0;67.26165746770891;31.11907991042591;76.2180038839533;31.11907991042591;-15.636217903747761;-0.23202508574958158;-0.4463752766431458;0.05128205128205128
14;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.4;0;67.173234470884;30.405665644788712;76.15197321340308;30.405665644788712;-15.48207756687431;-0.23202508574958158;-0.44804979261940936;0.05128205128205128
15;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0;67.15689760567933;30.391787167872053;76.15898521670385;30.391787167872053;-15.478361821125176;-0.23202508574958158;-0.4480817770440937;0.05128205128205128
16;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6;0;67.1186356736648;30.353980228257456;76.15247829901266;30.353980228257456;-15.467165464347921;-0.23202508574958158;-0.44813271918122294;0.05128205128205128
17;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7;0;67.0790974246438;30.31856309631047;76.14338748931903;30.31856309631047;-15.456226012089063;-0.23202508574958158;-0.4481733592513022;0.05128205128205128
18;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0;67.1343288757947;31.097776109535573;76.22886843773529;31.097776109535573;-15.62227412655022;-0.23202508574958158;-0.4463140807534919;0.05128205128205128
19;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0;66.9942984914821;30.246829595331008;76.11734913892478;30.246829595331008;-15.433465788151507;-0.23202508574958158;-0.44823890225956886;0.05128205128205128
20;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;66.9631937515533;30.210358372593248;76.12151253733057;30.210358372593248;-15.423479192498366;-0.23202508574958158;-0.44830774926286193;0.05128205128205128
21;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.5;0;66.75792315271464;29.97757901717057;76.06831371343598;29.97757901717057;-15.356711285226133;-0.23202508574958158;-0.44862757736822106;0.05128205128205128
22;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;0;66.57723722457186;29.8418435360079;76.04835779674777;29.8418435360079;-15.312498442706923;-0.23202508574958158;-0.4487842036952976;0.05128205128205128
23;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.5;0;66.37564491910175;29.656051943925092;75.99971828919233;29.656051943925092;-15.255629016999773;-0.23202508574958158;-0.44900036296282775;0.05128205128205128
24;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5.0;0;65.3959964297965;28.734036512639534;75.80476570902574;28.734036512639534;-14.976677621785361;-0.23202508574958158;-0.45015689013548366;0.05128205128205128
25;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;10.0;0;63.06636759661976;26.425957788781773;75.23279372143512;26.425957788781773;-14.278869722881304;-0.23202508574958158;-0.4530251573694907;0.02564102564102564
26;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;20.0;0;57.07410318218406;20.547136435787934;73.58614126319483;29.245539786425866;-12.458493028627721;-0.23202508574958158;-0.4597415798741248;0.0
27;53.365726;328.88495;170.31139;46.677067;1.5923641;1.5540432;1.2623513;1.9689736;0.49369332;203.40503;974.72406;962.51196;16.491331;5.9297175;0.64781874;1.9121127;1.2106389;1.0372366;0.97810495;0.0;0;-10.59545328330722;-6.22252986766415;14.550251656939036;10.579189575899449;-1.7887347266448985;0.3607215893318567;0.30504632304663;0.3076923076923077
28;162.7466;596.0829;880.4871;66.10443;6.9331427;0.5754304;0.68616915;0.50345564;1.0177294;425.3273;659.90155;266.5395;78.26379;1.3236401;1.010579;0.9093351;0.96203876;0.94177085;0.9993154;0.0;0;-21.52935455654522;-15.452182255386873;22.481695876216776;15.452182255386873;-1.2469609172010248;0.20179252118611385;0.18967942390624515;0.10256410256410256
29;686.21844;35.27652;653.9521;58.821495;2.808288;0.3074159;1.7369282;0.20032398;1.4935898;503.21213;467.93497;983.2387;3.8126888;6.162784;1.274401;1.942595;1.9971061;1.9144671;0.8007373;0.0;0;-19.021329386776344;-13.97120268735523;19.7705646527896;14.14399933177154;-1.2393322697750935;0.20179252118611385;0.18967942390624515;0.15384615384615385
30;747.3145;17.381866;581.0929;88.52125;1.7756636;1.617237;1.8210226;0.23097329;0.32543665;716.90985;734.4454;449.7501;70.14379;5.368596;1.3841803;1.966426;0.5370841;1.5564257;0.945393;0.0;0;-11.34049737436787;-8.295710204127204;14.376018747378412;9.803530945818977;-1.5053463090772727;0.343263558885979;0.24001977488663492;0.28205128205128205
31;967.83466;853.1254;753.8253;47.43708;5.0388737;0.07525722;1.4465492;1.610551;0.88060033;455.5336;440.90372;51.263046;40.21087;7.5656667;1.6922308;1.4896498;1.4150156;1.110525;0.8413166;0.0;0;-22.780135143618793;-15.212071754503057;23.708135504046712;15.236363744060327;-1.2611878834332348;0.20179252118611385;0.18967942390624515;0.10256410256410256
32;332.5671;55.959805;728.73895;17.88094;7.5066547;1.3612872;1.4226782;1.2671659;1.31003;638.6388;115.621635;579.64966;26.578615;8.30667;0.44948265;1.6170205;0.45835263;0.66082686;0.75324273;0.0;0;-27.48828220035705;-18.363452855123313;27.697715756541402;18.363452855123313;-1.0496944882164119;0.20179252118611385;0.1896794239062452;0.05128205128205128
33;376.7551;529.5472;119.42093;21.536745;2.70329;0.95706934;0.9913777;1.5146791;1.765088;110.50117;502.59372;531.4387;96.050064;2.248411;1.7260718;0.2371263;0.88586575;0.057288438;0.95646936;0.0;0;-11.66447256364417;-13.581659478963985;13.662825591423324;15.304662784520389;-1.525812892493043;0.35918992629332386;0.25301484920456463;0.23076923076923078
34;474.86026;618.8379;999.47144;84.62105;7.22317;0.15984562;0.16489138;1.8113408;1.3116653;766.1473;955.8479;859.71173;29.276972;1.1090206;0.21152867;0.5478595;0.76466095;1.3586558;0.8021047;0.0;0;-26.358469792112334;-16.111694547175205;27.3074984530244;16.111694547175205;-1.2304732751650944;0.20179252118611385;0.1896794239062452;0.10256410256410256
35;197.57664;206.18951;942.4708;0.97122335;4.625131;1.3802369;1.9980679;0.46027583;0.16936685;13.242713;279.87576;362.11636;21.249176;9.2444315;0.13910015;0.2536345;1.5110948;0.31933615;0.842682;0.0;0;-20.728092228785915;-14.676474960746617;21.75276237553387;14.676474960746617;-1.165087122854626;0.20179252118611385;0.18967942390624515;0.1282051282051282
36;138.62228;896.77356;897.62604;86.926125;4.0436897;0.97091943;0.04095521;0.7345298;0.6499073;645.7336;62.346146;768.96747;43.2033;7.4092073;1.7434671;0.31491137;0.94025743;0.32255945;0.9038468;0.0;0;-4.728470347059958;-4.948329359412952;9.41480729979929;8.139247543650669;-1.699504469908474;0.23248119860643726;0.260782048206121;0.3076923076923077
37;480.94788;198.19481;626.0662;5.6532497;3.6016135;1.7216016;0.99584085;1.5868185;0.70835507;828.05054;743.933;788.8579;30.294266;3.6300054;0.656938;1.5566666;0.6992229;0.2179954;0.97666276;0.0;0;-15.847662400790247;-10.058099446472568;17.19890832715702;13.09462151713143;-1.3664495184334438;0.2991688517571227;0.22015480677782345;0.20512820512820512
38;234.64026;885.66986;527.5634;39.22668;1.4643538;0.42517754;0.7405973;0.52618986;0.7826642;769.125;459.86075;44.60091;72.808105;5.3713374;1.5948129;0.41735855;0.59095055;1.7632105;0.8704019;0.0;0;-6.360276348076329;-5.693327701112565;11.492084347511183;10.884234188905651;-2.0413095109284676;0.43667743680987925;0.3301870231167106;0.2564102564102564
39;673.11584;765.36035;540.9158;80.037605;3.3330114;0.014576148;1.5545034;1.0170213;1.8838209;155.84425;341.35785;676.4114;3.112905;8.225738;1.5503515;0.7622029;1.6778774;1.1596326;1.2263277;0.0;0;-9.783834543185975;-9.9250738114863;11.715637848141954;11.096550481406837;-1.522003265265894;0.35918992629332386;0.24980639043704775;0.28205128205128205
40;442.7804;248.33553;24.787575;40.820778;8.793723;0.26966876;1.4742029;0.89246684;0.08104967;845.805;492.6637;484.6774;69.236626;1.6350983;1.3541851;0.8785715;0.4248416;1.6078675;1.2096481;0.0;0;-16.91155764822076;-15.379324934435374;19.000886904282304;15.379324934435374;-1.1894525614259237;-0.09746312024422507;0.10366089705264182;0.15384615384615385
41;834.35144;159.23672;504.4748;82.25259;1.0306475;0.546524;1.2598189;1.1946573;0.6113255;88.40386;930.6995;210.4035;42.268803;0.023014368;0.41706353;0.14607649;0.92402273;0.03993084;0.87418973;0.0;0;-9.411441682428382;-8.4837576049799;13.541947927460557;10.310621592224834;-1.7606652185648886;0.36104395000150097;0.3028140401211981;0.3076923076923077
42;703.26245;323.07037;627.53186;10.119854;9.583417;1.3079664;0.1587297;1.9765238;0.98998725;75.69351;257.74677;422.72562;78.41518;5.468656;0.85507697;1.7239971;0.85265964;0.9561982;0.97436595;0.0;0;-23.60913042381606;-17.32348894943982;24.223979695689696;17.32348894943982;-1.140681854187458;0.20179252118611385;0.18967942390624515;0.02564102564102564
43;319.24298;403.97107;662.11914;51.203068;1.0838903;0.73166;0.4813304;0.21639286;0.18192808;824.38055;208.5148;858.6459;33.45632;0.94083893;1.6206268;1.6929586;0.94784695;1.2527921;1.0537021;0.0;0;23.223237197935823;18.79799303252372;28.93310307126676;19.797201684920708;-7.053821042008688;-0.22237172822753556;-0.3843205608130891;0.10256410256410256
44;833.9372;253.32683;338.81808;58.289154;3.626696;0.24531136;0.19737528;0.97443837;0.97224057;190.69519;538.5724;692.8749;1.9116101;9.622146;0.20530984;0.04811702;1.3379576;1.8329362;0.84319174;0.0;0;-15.591853109167017;-12.913334644356752;17.41149088834755;14.539713145945427;-1.4275953328494297;0.2991688517571227;0.22018292168005915;0.20512820512820512
45;806.71674;998.90265;476.56952;89.09777;6.0669985;1.9633312;1.9581629;1.9183837;0.22318655;452.58838;468.67526;630.92444;76.35144;2.0453944;1.0168983;1.1884321;1.7746068;1.2022136;1.06416;0.0;0;-17.756196975453804;-13.819313500947516;19.902982158826465;14.211091462913572;-1.2849033839757407;0.20179252118611385;0.18967942390624515;0.15384615384615385
46;393.6036;237.35582;639.9475;9.452779;8.380035;0.22537261;0.26428795;0.702275;1.6771866;937.26685;158.29964;90.698616;13.340587;7.3647003;0.31574628;1.2010465;0.32374662;0.271643;0.96026754;0.0;0;-21.89902602966979;-16.849171362624134;22.41156385714367;16.849171362624134;-1.1498911768633548;0.20179252118611385;0.18967942390624515;0.02564102564102564
47;295.44482;832.3285;434.02246;33.92621;1.4443923;0.71668947;1.9347135;1.4837886;0.54746795;216.87407;584.85077;670.0047;47.829838;7.113651;0.21343713;1.253961;1.436067;1.4238832;0.76553226;0.0;0;-16.995585863982058;-10.253778955729416;18.715906636968676;10.94500609970558;-1.4441675998663606;0.2991688517571227;0.22996959317694174;0.20512820512820512
48;685.67053;167.52657;962.51385;65.96887;1.4196112;1.7544425;0.23429722;1.8592482;1.0507922;782.7779;578.7455;760.9398;83.31625;1.671251;0.88851386;0.5247969;0.29438937;0.7193334;0.87846017;0.0;0;0.5954149253499682;1.403700891909125;10.714645537660362;8.457849578773732;-3.3009466661385316;0.4386449447845691;0.38716186757294785;0.2564102564102564
49;148.35497;980.4422;708.3877;97.99502;6.2874975;1.3087046;1.7258384;0.48880878;1.2404525;588.5954;609.3765;950.48486;92.507;0.26413545;0.62596804;0.34658766;0.02324822;0.492478;0.84165084;0.0;0;-23.297546756299734;-16.339450929987407;24.134025536937205;16.339450929987407;-1.2328430148248883;0.20179252118611385;0.18967942390624515;0.10256410256410256
50;207.90912;233.26822;11.261009;84.842606;2.9345388;0.6463978;1.153514;0.1719467;0.61839396;411.6388;419.41992;800.0623;24.676256;2.3099983;1.6433727;0.18234082;0.025771486;1.699401;1.1614006;0.0;0;-4.627686681894905;-4.874844620461374;8.441020284155794;5.987855730594276;-1.606003016878236;0.3634025016669172;0.27135493674225175;0.38461538461538464
51;17.288647;427.47168;33.046688;84.664856;6.448576;1.9409901;1.6651341;0.16062912;0.7091163;464.63843;297.14825;89.143364;83.83273;5.414305;0.98104787;1.4453142;1.793173;1.1230654;0.9987612;0.0;0;-20.349396809359558;-14.76793881764911;21.232677848025453;14.76793881764911;-1.2237755499373761;0.20179252118611385;0.18967942390624515;0.1282051282051282
52;789.0551;562.97845;693.3972;51.766533;8.207626;1.0071862;1.2717276;0.15525731;1.025927;416.20746;335.04517;944.09357;77.63322;1.2724115;1.484723;0.9897594;1.6941959;0.9902945;0.84003145;0.0;0;-24.15955027280601;-17.311112858659556;24.75184455490649;17.311112858659556;-1.1618790794005933;0.20179252118611385;0.18967942390624523;0.05128205128205128
53;668.20233;129.08286;418.51865;56.473484;0.7779364;0.026138693;1.539986;0.7075365;1.612815;829.03;836.01355;794.0067;92.36424;9.401329;1.32605;1.2294173;0.6587262;1.6836369;1.0344716;0.0;0;-5.490932340643637;-3.794108358494867;11.576321204616217;9.84159639710498;-2.3799799207591716;0.43350143504549715;0.351135819819628;0.3076923076923077
54;708.1137;818.65186;841.07623;85.872154;8.446496;0.02226504;1.464315;0.2611671;0.91085684;815.8457;628.8458;13.305121;81.533745;7.8295603;1.9030951;1.1197382;1.3015924;1.8824334;0.9681121;0.0;0;-25.767500357676443;-16.01442688361078;26.600664333516587;16.01442688361078;-1.2119571951851087;0.20179252118611385;0.18967942390624515;0.1282051282051282
55;782.92175;281.9387;181.28525;86.97559;0.38547772;1.8826085;0.52777207;0.8160014;0.98688287;379.68555;404.0434;715.55817;9.040567;2.25011;0.52744275;1.3192286;0.3084475;1.2812824;0.96376216;0.0;0;22.3930782288049;22.282221865797;29.00831514066521;22.282221865797;-8.073932302224112;-0.1954611541879908;-0.2189438301591596;0.10256410256410256
56;464.32663;553.7772;23.688644;80.24723;8.989274;0.56954944;1.8707461;1.5107139;1.1957712;700.2761;617.1343;310.93066;94.443954;1.139408;1.5637854;1.4138931;1.5106353;1.6915563;0.8507119;0.0;0;-27.264034035418227;-18.345082011579194;27.801119708426715;18.345082011579194;-1.1438130775506674;0.20179252118611385;0.18967942390624515;0.07692307692307693
57;573.0538;554.13745;394.20154;81.87527;9.756425;1.6260092;1.2908558;0.60347015;0.8561708;536.5484;356.1178;608.98145;2.568051;0.68501353;0.3833707;0.4311717;1.9968024;0.8502554;1.0695716;0.0;0;-19.18214216138489;-17.326824018796742;19.85293125633006;17.326824018796742;-1.1584945047290873;0.20179252118611385;0.18967942390624515;0.10256410256410256
58;148.39903;606.61426;738.7035;87.97502;6.6778774;0.09668444;0.4121474;0.9640422;1.454896;750.7364;864.0214;289.9592;34.421253;8.198441;1.7259426;1.3790637;1.8898904;1.8079562;1.1601483;0.0;0;-20.541535782361866;-13.924583582113883;21.79937747879309;14.949792259079857;-1.3050857750180125;0.20179252118611385;0.18967942390624515;0.15384615384615385
59;123.38477;64.93113;972.01044;11.466815;9.8427105;0.30236503;0.6190236;0.2634639;0.019766139;59.54594;730.3557;732.7438;38.984596;8.822376;1.7482913;0.5592946;1.2715253;1.4415032;0.99252695;0.0;0;-24.613069108704615;-16.465098593609923;26.62942148449264;16.465098593609923;-1.1039448832087;-0.10797599613573698;-0.043752578899262054;0.07692307692307693
60;671.71893;176.93257;884.8173;29.334673;8.221699;1.7149912;1.0707715;1.3995966;0.9712093;342.67395;109.93917;194.85986;48.57796;5.2650204;1.6366856;0.0651113;0.89949983;1.8222369;0.8243886;0.0;0;-24.2163866218843;-17.62261659256521;24.574165419070532;17.62261659256521;-1.0966676403019524;0.20179252118611385;0.18967942390624515;0.02564102564102564
61;476.38525;169.58032;489.23386;97.61374;0.45321134;1.9882417;1.7648352;0.6421728;1.8468022;342.44827;65.608315;836.1882;23.599396;5.6505547;0.6488301;1.6396227;0.73916286;1.7292134;0.8808119;0.0;0;6.780427932170988;1.2142400850318893;15.188220525720052;11.10002759277478;-2.835266511968944;-0.1911449715316207;-0.2947735326962499;0.3333333333333333
62;569.58374;309.03076;814.6891;54.52314;0.048071332;0.11332663;1.5955387;0.2790993;1.2356485;600.8441;43.083233;82.17227;12.467361;4.2277956;0.30196968;1.5057229;0.56051546;0.71740043;0.9069663;0.0;0;21.645829701729827;9.135819947494923;29.332350323338186;15.06665942373374;-5.881115792288044;-0.14311149773120685;-0.40595579150505623;0.1282051282051282
63;767.3489;153.46501;79.62715;17.728739;0.21777691;0.3435976;0.6110755;1.9097944;0.9779355;215.55998;37.258102;33.852234;83.72105;7.987221;1.6880628;1.5075365;0.18033566;1.7701559;1.1915727;0.0;0;107.03193340368394;62.82253409605198;113.49926548755259;62.82253409605198;-25.704953503774934;-0.33860897520374794;-0.46574777351879;0.10256410256410256
64;638.37115;922.7021;576.5496;50.35526;4.5245504;1.4485947;1.3800877;1.5415487;1.5463294;536.3769;501.9409;140.6074;64.21777;8.737765;1.1832616;0.7576813;0.4270111;1.0947729;1.0619198;0.0;0;-18.0326744819027;-13.317025771025328;19.26984708317472;13.999477874064922;-1.3510922273853583;0.2991688517571227;0.2060636069843176;0.1794871794871795
65;558.0436;517.8249;925.0554;64.61384;6.237592;1.0637109;0.013297092;1.3081322;0.79207146;980.0609;189.0334;390.69952;47.54182;3.1470726;0.90154;1.5493817;1.121705;1.5923665;1.2133042;0.0;0;-6.0958155375686776;-6.096103161436133;9.840061185003886;7.464119069061184;-1.4927902428762856;0.3474918893985722;0.23782132854519208;0.2564102564102564
66;563.6151;627.3394;402.4213;82.83938;4.8199034;0.8178724;0.6719557;1.4487693;0.9398188;53.070873;677.78754;660.11566;77.48288;9.006341;0.8311022;0.5869097;0.5509118;1.4218374;0.91097265;0.0;0;-20.62649003629904;-13.64653000004543;22.020799951945584;14.736761585954952;-1.3224192252829965;0.2991688517571227;0.19136749996429053;0.15384615384615385
67;310.91058;363.9133;960.49963;81.23646;6.774532;0.3969904;1.6807945;0.85672975;0.39836785;508.4094;487.9347;485.7922;91.52419;2.4246304;0.21165313;0.6030604;1.4537866;1.849297;1.1864593;0.0;0;-17.095520376869842;-14.209471499508965;18.440723875561236;14.209471499508965;-1.2361367359175817;0.20179252118611385;0.18967942390624518;0.10256410256410256
68;40.509655;283.48367;228.47824;5.019225;4.50153;1.8914163;0.31089038;0.6036789;0.25716627;146.90546;102.54212;480.9528;22.470264;2.2119217;1.297442;0.7381893;1.5378972;1.4110827;1.1458343;0.0;0;4.7741497045902825;-1.4359392379436429;14.95704217143266;9.300535872729824;-2.3878814632093266;-0.20426875392060653;-0.41156404609142455;0.3076923076923077
69;442.35022;508.1454;114.57747;45.407146;0.4352124;0.3528144;0.7132566;1.0049734;0.060790222;586.5772;15.773521;866.92395;32.35875;8.514499;1.0464038;1.4498261;0.95850986;1.4439514;1.2244494;0.0;0;86.24632881475311;40.200458182365935;90.6127327522175;40.200458182365935;-18.68869761587892;-0.36497626278516854;-0.47994711480602864;0.10256410256410256
70;222.43883;301.37973;529.5147;2.1548488;2.2694054;0.5378466;0.012076201;1.6522634;1.4657028;248.45421;46.3575;563.67554;93.438774;5.2079597;1.9229444;0.5041057;1.8120514;1.9938681;0.870889;0.0;0;19.897508884367618;16.715989902714256;29.064656403679955;17.96686165951391;-6.849493165897337;-0.13316312424663346;-0.3246032515594615;0.05128205128205128
71;414.44336;350.20947;908.1744;88.8268;9.926316;0.65535325;0.056034125;1.9279474;0.9416983;903.4837;538.00336;512.53094;54.449932;0.5329401;1.3533773;0.15793562;1.632406;1.7392473;1.2235868;0.0;0;-17.07552230998917;-16.391738948602125;18.20572375559549;16.391738948602125;-1.1951382726750153;0.20179252118611385;0.1896794239062452;0.05128205128205128
72;854.869;458.22336;318.1664;17.473217;3.4651797;0.28578055;0.3005778;1.2145098;1.879313;324.81107;590.7383;425.23618;28.195803;1.0282207;1.9316064;0.5258861;0.16475925;1.2287087;1.0797222;0.0;0;-8.099434631577038;-12.077062066355893;11.047667758551599;12.639501589996087;-1.6699391816432;0.36478960513190817;0.2815187886181174;0.28205128205128205
73;241.6001;510.67636;802.1587;62.524982;3.2544098;1.0771037;0.21270747;0.75895566;0.36186394;958.7297;359.48425;978.6298;15.906383;2.8886507;0.28828335;0.9238474;1.6069602;1.5037643;1.1172601;0.0;0;-1.7435819655030946;-0.7641960149229021;8.024628605246594;7.2805536372354425;-1.965509335663346;0.22489771071251477;0.3198625104136999;0.38461538461538464
74;67.71971;984.4709;177.5053;57.104774;1.5363926;0.6892369;0.9845614;1.43923;0.49552703;14.093402;88.11148;250.38133;98.872154;1.7918305;1.3681633;0.6446121;1.6612694;0.5179695;0.84294236;0.0;0;5.390770902211802;-0.7912892144709929;14.331932064140632;8.549842838246235;-2.4894653652957404;-0.21860775680867822;-0.34189353593592087;0.3076923076923077
75;288.57007;231.08936;748.1147;62.59039;9.871566;1.2196165;1.8010087;1.397165;1.2810646;833.7936;935.342;164.01064;53.54889;9.963387;1.630426;1.442249;0.6997392;1.1015866;0.8580266;0.0;0;-30.37424426463606;-18.64923722986731;30.73211246032732;18.64923722986731;-1.0890153758806238;0.20179252118611385;0.18967942390624515;0.02564102564102564
76;300.6578;493.0964;561.45667;56.38532;2.3122885;0.7420376;0.178437;0.5024539;0.11864939;269.06683;411.65652;497.4443;86.23953;7.1764646;1.2261839;0.16402183;0.9910496;1.9634584;1.2471609;0.0;0;9.986353095340645;11.931258318909784;15.946771339531248;14.11131864813683;-4.667399775735611;0.11365169195583766;0.2157267623512401;0.07692307692307693
77;665.29736;158.01662;183.2668;71.58731;6.4717975;0.24168283;1.7409754;0.8766729;1.0117924;209.60625;435.0155;680.98663;63.636063;4.3922772;1.2335553;1.315329;0.14952648;0.35181737;1.1419928;0.0;0;-18.797293804524426;-15.110394887661556;19.54583961549156;15.110394887661556;-1.2018744483091435;0.20179252118611385;0.18967942390624515;0.10256410256410256
78;561.46185;356.49924;720.9064;62.648384;0.4300541;1.7464688;1.3396341;0.2766871;0.2559272;885.3042;387.64307;31.451185;44.422035;8.070957;0.3199607;0.6344759;0.5391803;1.7942011;1.1945227;0.0;0;12.972142019418195;13.766076733632588;18.09029399075326;16.888198193823143;-5.395255661956791;-0.00749798436979681;0.031805843041102386;0.1282051282051282
