c1;c2;c3;c4;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
1.0;1.0;1.0;1.0;1.5;0.0;0;30.490441298057878;28.520417842389122;38.00543974573569;28.520417842389122;-11.205923420420541;-0.2353134546740341;-0.31690735820124527;0.05128205128205128
1.0;1.0;1.0;1.0;1.4;0.0;0;25.794775369794714;24.997053286444157;33.389067621218146;24.997053286444157;-9.972051314547084;-0.18687555882393633;-0.28006795584434563;0.05128205128205128
1.0;1.0;1.0;1.0;1.3;0.0;0;21.03615000353306;21.327678306457955;28.73616765587305;21.327678306457955;-8.685991056550227;-0.15575422236785222;-0.23007198215899927;0.05128205128205128
1.0;1.0;1.0;1.0;1.2;0.0;0;18.771690317623086;22.916196288147916;27.630250234937996;22.916196288147916;-9.038771668002012;-0.08735915466141013;-0.12662519615541298;0.05128205128205128
1.0;1.0;1.0;1.0;1.1;0.0;0;12.825381613784808;17.453636908353786;21.277039486178893;19.249147272831323;-7.060917719162962;-0.003419753385322105;0.028703701102115946;0.05128205128205128
1.0;1.0;1.0;1.0;1.0;0.0;0;7.014749238300665;11.487279783323999;15.14577914946437;14.984515500684267;-5.065217961376015;0.24344606240784317;0.31228635743545013;0.10256410256410256
1.0;1.0;1.0;1.0;0.9;0.0;0;2.325715826178798;5.77895582872776;10.972611277425566;9.984912309569467;-3.9641953016661935;0.4983805656185773;0.47790183584841606;0.10256410256410256
1.0;1.0;1.0;1.0;0.8;0.0;0;-2.360223654054713;-1.7287914250698577;9.174275763163003;8.680301383908528;-3.0797331055516732;0.5778390272162562;0.4497647059576632;0.358974358974359
1.0;1.0;1.0;1.0;0.7;0.0;0;-7.055285504910901;-7.956217983916247;11.315836516481927;10.128898592302363;-2.3101080402171275;0.5444589986382053;0.3810532877617151;0.28205128205128205
1.0;1.0;1.0;1.0;0.6;0.0;0;-11.765583552019116;-11.743843061160334;14.134845914482167;11.79695981275242;-1.6627064123108757;0.44650077266170113;0.30450641939254663;0.3076923076923077
1.0;1.0;1.0;1.0;0.5;0.0;0;-16.45581365672106;-12.276497291023958;17.748710324021406;15.357948878386736;-1.4000816574947827;0.391604626958819;0.23907795667395387;0.23076923076923078
1.0;1.0;1.0;1.0;1.0;0.1;0;7.01241412745144;11.51336966388368;15.162682402322984;14.981322127349074;-5.072630880241582;0.24344606240784317;0.3129322421330304;0.10256410256410256
1.0;1.0;1.0;1.0;1.0;0.2;0;6.981182273220142;11.471967670788388;15.149254892247118;14.962656190391158;-5.060268056737325;0.24344606240784317;0.3125627280023098;0.10256410256410256
