per,nseg,icalc,outseg,iupseg,iprior,nstrpts,flow,runoff,etsw,pptsw,roughch,roughbk,cdpth,fdpth,awdth,bwdth,hcond1,thickm1,elevup,width1,depth1,thts1,thti1,eps1,uhc1,hcond2,thickm2,elevdn,width2,depth2,thts2,thti2,eps2,uhc2
0,1,1,5,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1252.0701,9.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.91,9.24,0.0,0.0,0.0,0.0,0.0
0,2,1,5,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1291.14,9.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.635,9.24,0.0,0.0,0.0,0.0,0.0
0,3,1,19,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1093.0901,9.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.73,9.37,0.0,0.0,0.0,0.0,0.0
0,4,1,22,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1170.1001,9.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.22,9.24,0.0,0.0,0.0,0.0,0.0
0,5,1,25,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1278.7201,9.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.33,9.24,0.0,0.0,0.0,0.0,0.0
0,6,1,37,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.20457,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.11627,4.55,0.0,0.0,0.0,0.0,0.0
0,7,1,37,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.54001,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.379,4.55,0.0,0.0,0.0,0.0,0.0
0,8,1,42,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.01,4.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.95,4.52,0.0,0.0,0.0,0.0,0.0
0,9,1,44,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1070.12,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.2,2.84,0.0,0.0,0.0,0.0,0.0
0,10,1,55,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1147.5352,10.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.51996,9.61,0.0,0.0,0.0,0.0,0.0
0,11,1,58,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.44,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.41998,2.28,0.0,0.0,0.0,0.0,0.0
0,12,1,59,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.32,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.45496,3.91,0.0,0.0,0.0,0.0,0.0
0,13,1,59,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.11,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.08997,3.91,0.0,0.0,0.0,0.0,0.0
0,14,1,59,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.45,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.18,3.91,0.0,0.0,0.0,0.0,0.0
0,15,1,66,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134.02,10.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.22,9.61,0.0,0.0,0.0,0.0,0.0
0,16,1,92,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824.35,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.8,3.8,0.0,0.0,0.0,0.0,0.0
0,17,1,92,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827.42,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.86,3.8,0.0,0.0,0.0,0.0,0.0
0,18,1,117,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.53,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.15747,2.81,0.0,0.0,0.0,0.0,0.0
0,19,1,125,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.19,9.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.8675,9.37,0.0,0.0,0.0,0.0,0.0
0,20,1,140,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.3,5.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.58,5.07,0.0,0.0,0.0,0.0,0.0
0,21,1,159,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1177.03,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.45996,3.12,0.0,0.0,0.0,0.0,0.0
