r10_2;r110_2;r0011_2;r10_3;r110_3;r0011_3;r10_4;r110_4;r0011_4;z10;z0011;m0011;m110;complete;ME;MAE;RBIAS;r
2.2420444;1.2796404;2.4787574;2.0973153;8.913263;13.918195;3.7053237;4.991056;4.5346317;4.2368126;5.3878517;34.604103;7.2285247;0;4.51471078195743;7.7681569219675115;0.021560962973303035;0.951417004048583
4.1801233;0.8386464;50.44748;4.129506;1.9195024;27.691393;3.1774435;6.3577466;30.915188;0.48805952;9.369996;15.76509;4.798991;0;-1.9335360615178507;7.686641743030348;-0.004164210142161911;0.9611336032388664
3.531299;1.6495403;62.75319;0.5914643;9.624701;65.57219;0.46621886;9.893826;49.753136;0.42514968;3.2522433;30.348831;8.055422;0;30.795494401719615;31.026958594911875;0.10740808397126174;0.9704453441295546
1.6305965;2.0499578;66.211914;2.606557;1.9674687;36.90168;1.2605623;1.9334351;9.553206;4.1307726;2.80468;60.29083;4.005074;0;20.51237496720222;20.740780692356232;0.07693025261030267;0.9694331983805667
4.178073;1.3043449;33.881805;2.9541228;4.2582846;12.706445;0.56137633;5.3617816;48.87026;0.99434996;5.8052034;48.90454;1.1632081;0;8.057082341295642;9.692965477054825;0.030914009581708764;0.9836032388663969
4.0433455;4.994569;47.65695;4.465256;6.4567556;98.17577;4.896984;9.630881;11.6057625;2.2905889;5.169775;44.649357;7.869499;0;-9.351031108710117;15.118454069944786;-0.027190491106952177;0.9425101214574899
1.9986441;1.2252965;63.99475;0.5587449;8.540572;11.714517;0.7261362;4.130892;83.94044;4.6895027;2.3481786;7.542935;2.1928456;0;41.67596957248135;41.78456696610034;0.15038301245502803;0.9412955465587044
1.5128077;4.1701107;43.402245;1.7591434;2.2922454;36.156914;4.8392444;7.6653757;27.738356;1.1239221;6.225916;47.333656;5.2999854;0;2.008238221501614;7.684724575079106;0.013215198654921422;0.951012145748988
3.444228;0.87967694;96.25138;3.3308058;2.26992;87.78382;0.6522896;9.363434;52.778107;3.9248602;6.1704135;53.579704;8.49696;0;6.469458201721262;8.08159593933111;0.02766453113219849;0.9813765182186236
0.7847872;4.9031987;70.83877;4.9016576;6.655403;65.608925;4.3249288;3.1654668;62.213467;2.9637551;6.4488773;66.59896;9.324955;0;-3.5981627937190095;12.68029095140621;-0.004849526237398696;0.9419028340080973
1.0795501;1.2050649;1.1261009;4.256544;3.6347196;32.659992;2.9156878;1.7324222;31.266836;2.0879092;4.721999;56.266907;3.2140772;0;3.542711914848064;7.569474254164526;0.01801719462596944;0.9506072874493927
0.13607512;2.1662738;3.3046687;4.2478256;6.800519;97.06433;4.1754556;1.6812372;35.780155;2.3502307;3.6104386;7.4361095;8.543489;0;2.256022471832497;9.206577774143858;0.015652365900083065;0.9362348178137652
3.9559295;2.836964;69.33972;2.6341944;8.385249;50.608757;3.2067664;1.6569426;51.54109;2.1105218;3.9549563;66.159966;7.9849744;0;-3.2429658971334425;9.605677368139277;-0.006181249687085186;0.9698380566801619
3.3577693;0.6894;41.851864;2.8650658;1.6918346;1.8028797;3.8673022;4.154688;80.73804;4.1537848;8.509214;55.850967;9.312094;0;-5.085386614688522;11.733498355663048;-0.01181106141126362;0.9574898785425102
3.5553102;4.1024184;84.10762;4.3070426;8.600447;1.6101702;3.6809769;2.1359317;45.816494;4.088529;6.625871;2.2270184;8.336373;0;-6.45596989022244;12.408973143065076;-0.017280765355026696;0.9574898785425102
3.9255722;1.4459591;18.128525;4.3611655;1.3382682;94.15993;1.3749162;4.6452327;49.598698;1.9297568;4.5822124;50.46258;1.8054565;0;-0.8128031096072156;7.176926301391008;0.0016164556504166467;0.971255060728745
2.3486874;2.7914226;2.3688645;4.0311456;9.089436;28.836882;4.6817365;7.787148;59.990627;3.5165184;6.5194025;22.669985;9.499455;0;-6.2288889986617955;13.334653334381928;-0.01536249108286147;0.9406882591093119
2.8868318;2.7932057;39.42015;4.110999;9.780563;81.39443;3.253866;3.6840358;43.095932;2.7061486;4.1465254;43.142162;1.2223469;0;-3.7213793013130307;10.552566437857855;-0.00733621943060796;0.9595141700404859
0.7850053;3.0529392;73.870346;4.4101863;7.007097;5.3124423;1.0902122;5.3147635;72.88176;3.766271;8.763831;21.22952;4.092005;0;13.142800746902967;13.387275942888536;0.052773130427093785;0.9690283400809717
0.66119736;0.37188134;97.20104;0.65753144;9.858297;15.544794;1.5996059;2.1463192;1.4858531;0.34522736;7.5486884;51.643005;4.5031166;0;58.55613560459891;58.60161287570292;0.20485196772794245;0.9200404858299595
3.3751745;0.9262319;88.481735;1.5339329;8.397926;85.821175;2.7119498;7.2846074;48.818954;1.746568;1.9085379;14.697445;5.367384;0;4.811560257939261;7.496958551062362;0.021554405697772346;0.9716599190283401
2.4083714;0.889842;48.923386;4.8829565;1.3992895;99.41504;4.420951;3.8590732;92.3786;1.745451;1.5055301;58.74828;3.1170626;0;-7.364742133027655;14.162817900866772;-0.01929885860363272;0.9427125506072874
2.869657;1.5800512;81.46891;2.7694032;1.0342985;6.1403704;4.0040903;2.217032;61.974472;3.02438;1.3007567;6.9572873;2.1141768;0;-2.780247827649839;9.842642266641223;-0.004120912645606685;0.9611336032388664
3.8484943;0.8100794;7.962715;0.9646729;1.1871864;17.59606;1.5800352;9.592035;49.153576;1.117418;1.247801;3.6383352;8.533427;0;15.684189255921883;16.360387009462062;0.05677206012912091;0.9809716599190283
3.2101197;4.6174145;57.65496;2.5649726;5.0671625;72.568275;3.473583;7.926602;77.43046;2.7052999;5.47219;10.971013;6.776376;0;-1.68791292899494;9.10740211084026;-0.00018961162016577;0.9587044534412956
2.812539;2.6134768;92.50555;3.2643425;6.6104436;53.42079;0.10811847;6.8709493;39.907074;4.901312;2.6275764;28.14906;5.274038;0;16.092151198734502;16.396705574671003;0.06044197485128972;0.9791497975708503
2.840115;3.1555183;40.24213;4.1582875;5.333246;41.19064;1.7299411;7.5069966;47.257317;0.31317908;7.0707955;46.654408;7.971431;0;6.162371399740829;10.511774061430494;0.023571315776087818;0.9678137651821863
1.5893555;1.8516921;96.049965;4.079666;7.094173;20.252287;4.2140164;4.829431;20.320812;2.5668747;5.344861;34.680676;9.236414;0;-2.4319725580828484;10.461641195459247;-0.0022106070905531117;0.9495951417004049
0.25100738;1.4536061;22.847824;0.34128332;5.046424;94.5981;0.8408859;3.68498;13.296211;0.7776129;1.841292;34.348274;3.0153391;0;100.50546122001059;100.50546122001059;0.35911578991122933;0.8783400809716599
2.2399151;2.5655682;11.457747;2.3222725;1.3830743;18.054586;1.8316368;5.49988;3.5267496;2.953766;1.0524865;60.85942;3.9061937;0;16.28543534161941;16.603345613185354;0.06163956485815841;0.9684210526315791
1.1514649;1.5421826;52.95147;0.20078838;3.0355003;27.259706;0.105112255;8.427322;73.41938;1.2802279;1.3305227;40.03024;9.408899;0;85.99304275205404;85.99304275205404;0.30997592196807044;0.901417004048583
2.1017904;1.7838651;90.817444;4.451965;9.933619;33.105515;0.21335036;9.674134;47.350822;4.522293;5.8000307;36.517277;5.8963904;0;11.930696316572512;12.312225421954732;0.04692070063480003;0.9744939271255061
4.281675;2.3184793;31.816643;0.9521398;4.1127744;14.719736;0.81549305;6.4475317;93.99597;1.6581558;6.279439;30.521273;3.5311534;0;13.028777804333282;13.483773496110183;0.049265631155426946;0.9809716599190283
1.2463034;2.578095;80.21587;3.161886;3.9228916;54.087074;0.59912896;4.3872366;18.50479;4.7957325;4.1771297;68.53215;2.4239984;0;23.8814825596281;24.06491762789714;0.0893165457232253;0.9651821862348179
0.38568345;4.9231386;17.75053;2.89603;2.3751285;34.791183;2.4996738;7.463854;25.15436;0.120260276;1.7101043;18.51104;9.898393;0;33.318204163160594;33.82172321237496;0.11290753748891647;0.9564777327935223
1.4787811;1.1942806;74.81147;3.1650941;9.884294;61.176903;4.510021;7.27361;64.23387;4.177362;9.4122;12.578508;5.815215;0;-1.924455557301933;10.842820324076403;0.00044007464948469935;0.9473684210526316
1.5386094;2.4910831;56.145668;2.8607414;3.0741339;37.41795;0.51474434;3.2271783;6.405171;1.38225;4.651423;35.48102;8.760318;0;31.773359714130237;31.982335112032708;0.11357669572571527;0.9587044534412956
3.343391;0.8326075;18.326681;3.6063845;6.8214393;12.525929;4.3622007;4.919626;50.837914;1.0879501;4.8637776;48.08797;6.72397;0;-5.715908787949053;11.973575672726486;-0.014880312715491954;0.9512145748987855
2.8294575;1.8149962;72.09064;3.167939;1.3784271;87.38714;3.3739734;2.2061226;13.2345705;4.4323134;4.433119;3.4734147;4.992976;0;-0.9193735733646403;8.23698125792622;0.002013549783916967;0.9643724696356276
3.9411013;3.6148226;71.66186;0.54247123;1.598251;51.455555;0.9275849;4.620505;16.978348;1.5914323;1.5352063;60.275475;8.724683;0;20.53883177397979;20.862244702253385;0.07429364711436033;0.975506072874494
3.3551364;0.9548645;52.028088;1.8971629;7.450765;32.863197;1.5197089;7.8647394;51.697887;2.9610043;7.394027;21.2519;4.2085743;0;9.436022913185674;10.439832463554449;0.03746613893008783;0.9805668016194332
2.0912957;2.9486215;23.321297;2.778308;6.7165136;2.6201105;1.051499;3.8251247;57.33801;3.7102199;6.9832916;45.886124;7.916249;0;13.951561775524642;14.19893399897778;0.05423219645465839;0.9748987854251013
4.0887;2.141835;14.0970955;1.6934674;7.1214614;60.186802;3.9675624;6.697294;21.99144;2.1540885;2.4801807;13.783466;5.0807443;0;-2.3850409019768857;8.839681132075512;-0.0036251008787865843;0.9643724696356276
0.9181673;0.35273978;95.76825;3.8256214;3.0787337;78.467926;3.6529918;3.948847;27.852623;0.59655607;3.4172409;61.29053;9.0765085;0;3.6333788508939926;7.592542156710704;0.018329005158487476;0.9493927125506074
0.21128915;4.6720686;65.92544;1.6576988;9.864001;65.356064;1.5916058;2.3239331;29.126652;4.6194515;5.9222784;26.404648;5.5289617;0;37.28470918474108;37.34167030435897;0.13917359398699294;0.9390688259109311
0.5412345;2.1266553;81.11491;4.1605525;6.0253763;78.984215;0.3662382;7.672488;15.039173;3.2727544;4.3908963;14.713359;3.9323528;0;28.658530101567347;28.81903935321466;0.10573880295421278;0.9568825910931176
3.6395607;3.94124;70.000084;0.81899524;9.725933;16.343597;0.9268297;6.30381;96.60636;4.4727473;9.981362;3.3426301;7.5316987;0;18.953190154488702;19.260924848584008;0.07005037428335505;0.9746963562753036
2.3631985;2.1399362;83.11789;3.8700235;2.477535;97.19859;3.1863942;8.429119;69.527794;3.8618608;5.4682984;22.99741;8.741204;0;-2.0504535884214556;10.042168694936118;-0.0007095785843711073;0.9558704453441297
0.8902317;4.6930656;17.086592;0.99898064;4.6458955;21.921995;0.5428268;7.110587;11.973341;3.8925104;8.940064;27.786211;8.659164;0;72.59795043887995;72.59795043887995;0.25745927954857767;0.8975708502024292
2.5551195;1.5233046;50.19807;2.687275;4.0211697;27.41118;2.7286808;8.35473;36.358856;2.9904242;2.8415148;4.3880005;5.3056464;0;4.156211268002116;7.339125897420658;0.01961326714136861;0.9651821862348179
0.84632933;2.1199303;67.04535;1.6705694;7.7956743;51.720627;3.103352;2.3945327;18.087677;0.13035011;6.005989;39.764496;4.961539;0;25.823763170747792;26.59396626702368;0.0892871638833256;0.9611336032388664
3.5119698;3.8184347;11.2356;3.2229388;7.7281427;1.5143572;3.4699926;6.531253;24.204227;4.425026;3.8961587;32.919968;2.3436394;0;-3.5460568257082095;10.017891554140782;-0.007318316579700113;0.9562753036437247
2.2861657;1.7839699;15.845738;1.142428;5.3788943;44.8024;0.7142432;4.3064075;94.0083;4.171529;9.410515;35.528248;1.3531901;0;25.404469254440208;25.563907091538614;0.09491287037688576;0.9587044534412956
1.9670041;1.8853496;63.76428;3.9975078;1.145332;20.376802;2.3525589;7.7185583;14.538543;3.6623435;5.9606247;11.076157;9.383685;0;4.121965848042365;7.333586280262664;0.019664976163612253;0.9682186234817816
1.5774093;4.9746337;87.00188;2.9105608;2.5768514;75.152794;2.3706434;6.220774;88.101364;4.402981;6.8855143;28.049204;7.5270686;0;6.208334207812119;8.432432284259825;0.028850572973540656;0.9661943319838058
3.1883848;2.8225112;66.3812;4.7906384;1.452391;76.017586;4.192885;1.4876208;84.34167;1.0026195;1.684187;67.81326;6.1910353;0;-7.618966501708673;13.646361027783268;-0.02114251318633863;0.951012145748988
1.8728818;3.4779642;4.5842767;3.5876746;8.623131;61.95775;2.3967133;5.8019137;74.62315;1.4811081;5.3891845;26.304268;6.250664;0;4.235542365681718;7.273338952411359;0.020557083064528334;0.9655870445344129
0.5294846;3.252965;97.07286;3.0762382;3.607944;42.746834;2.0932992;7.698622;50.17548;0.86989516;6.2152576;55.921364;1.2101215;0;14.778184880986442;15.00610101007784;0.05860018704072603;0.9591093117408906
0.6782289;4.1568284;14.811183;4.1628776;2.0613036;31.713167;0.7049562;3.3650956;26.578398;3.2684321;3.613626;10.443297;5.0837636;0;23.427989758236983;23.614452562370907;0.08714458881464918;0.9649797570850203
4.8132987;4.322943;24.02366;1.1764445;4.1875515;82.91874;3.5028753;6.8907385;83.267006;2.2481203;7.6219;10.351862;9.291923;0;-2.5201920486903715;8.915578319783025;-0.0038978232579416237;0.9690283400809717
4.5520453;2.859955;97.52176;3.200438;1.6956038;51.202267;3.1369684;8.568332;83.573425;0.60295624;5.19922;69.92695;5.158335;0;-4.584656652031437;10.490419638795307;-0.011580386216120427;0.961336032388664
3.528565;1.5433247;77.33227;2.0129788;9.809714;50.15021;3.6130543;1.5865079;53.006283;2.9206214;6.0517936;46.08868;6.2273154;0;-2.1437794610908325;9.121375828836088;-0.0019681148688606466;0.9668016194331984
1.4027628;0.21172121;93.72109;3.7445757;3.835071;12.229856;3.315788;6.2022014;5.713725;1.7610302;4.248373;47.20874;4.3939104;0;3.6312117519984892;7.277899243066506;0.01833867836903853;0.95668016194332
4.848964;3.110576;80.85535;0.2199001;9.3976;22.619923;4.3888907;8.988408;20.103157;2.5034885;7.0885477;30.962824;1.9453102;0;-2.5403405793870593;8.891011671474;-0.004100311207657111;0.9661943319838058
3.9158795;4.1447973;65.52171;2.1957893;7.1445584;36.68844;4.398996;2.137779;6.5522623;1.3807712;1.9285434;53.757946;3.912119;0;-3.4110804252412006;9.620547723423188;-0.0073752993228478475;0.9578947368421052
3.612762;2.307645;29.170748;3.2933393;6.094963;70.18643;1.607648;3.423229;18.803965;0.8896288;5.556047;65.11606;1.765802;0;4.717999329722368;7.674149330912401;0.019714679844128474;0.9789473684210527
2.3018713;0.9070601;33.361263;2.3571327;5.279473;84.68183;0.9938191;6.6333165;51.333706;2.3089907;9.060764;7.5762205;6.207216;0;19.08633242766292;19.33936671254835;0.07074838804235774;0.9736842105263157
1.4339837;1.5116022;94.77984;1.2660608;7.186421;99.29317;4.63974;6.266655;85.56317;1.208127;3.1166549;13.723303;9.835787;0;3.858151171888913;7.809880858270477;0.020343015924254543;0.9558704453441297
0.5723157;2.5989459;86.201935;2.3753114;7.176478;43.315777;3.5938954;8.140565;65.67045;2.0845666;8.816032;60.892906;4.2642884;0;6.683437336380382;9.171309483995445;0.03184530266635302;0.9548582995951418
4.522752;4.199738;36.589554;4.263748;1.0946895;45.86723;4.857789;6.6614757;60.489395;1.9731491;8.965465;7.3816304;8.725954;0;-10.074302281216976;15.481841115050802;-0.02995925268002969;0.945344129554656
2.333304;0.9415904;37.953476;1.1135112;9.1700535;76.84;2.535083;6.1826053;75.0474;4.708083;3.0738862;26.421146;1.3850278;0;9.53632158839786;10.295781506823952;0.03979965986397908;0.9716599190283401
1.0915805;3.0995343;30.471745;1.8991436;4.311671;32.80147;4.8149924;5.0666623;64.351234;1.0155385;1.7265214;7.6580358;5.5451665;0;3.7623549127623854;7.617653806775682;0.019473420775831307;0.9493927125506074
1.5991875;3.7915063;33.286884;4.952644;4.179458;54.51128;0.7013221;1.7042435;44.8993;1.5035676;7.8797655;29.742014;6.8902135;0;10.722450874786437;11.52983833966236;0.04203157443268253;0.9769230769230771
2.938176;4.6866326;86.20608;4.572804;4.659315;68.02471;2.9927864;6.3197947;81.72098;3.9801352;9.627238;32.406906;3.873043;0;-4.748448741679021;11.620007291481594;-0.010458170650502089;0.9556680161943321
0.96618664;0.6718481;2.0401788;0.26644486;7.1675453;24.388721;2.534003;2.4096324;31.708263;1.5497257;3.3014498;14.248997;1.8851248;0;32.34246867088526;32.46006719440255;0.11876360668792255;0.9524291497975709
4.29741;4.639319;44.16921;2.6986268;4.3841596;28.679405;0.112960115;9.962646;92.88338;2.4532888;9.217035;7.551847;2.9611037;0;11.616647136890293;12.384719898928351;0.04374271331822386;0.9819838056680162
3.8167458;3.047191;94.341125;0.42052382;4.3644795;36.262875;1.0452037;1.7065008;12.502868;3.833541;2.8735068;30.38234;1.6300877;0;22.49285976182259;22.819905136057407;0.08127742525414626;0.971255060728745
3.6253686;3.8568377;54.721;4.6271343;1.5711839;58.1908;0.8520135;1.6814468;64.13031;0.121499434;4.2337418;36.98532;8.993977;0;10.88789910204049;16.438471716273455;0.03607625988379958;0.9730769230769233
2.2172558;0.36349607;45.59413;2.26357;4.749775;27.77113;0.39796552;8.085965;50.55112;4.7871394;8.973154;52.118137;1.0412384;0;22.450328943849993;22.659057513241944;0.08376816942765614;0.9676113360323887
3.1738133;2.580126;31.92461;2.1503413;2.3453064;21.60861;4.7459307;1.9104873;43.150406;2.367882;3.7365441;51.36773;1.6243486;0;-4.4367433559468905;11.109462028001952;-0.009865856936508493;0.9593117408906883
2.96208;3.1508853;8.31735;1.4374355;8.700303;15.801313;4.8302994;4.6456866;43.54192;3.8213038;7.801261;6.75438;8.161208;0;-2.542220213850811;9.913528221983592;-0.003106705924104798;0.9554655870445344
3.2842484;1.6034858;23.224161;2.887213;4.0105996;81.12168;4.469575;9.347491;5.178545;4.6119556;2.322715;31.781576;3.6975706;0;-4.626998641841981;11.375050224134393;-0.010509357432894032;0.9500000000000002
0.5137772;2.215086;9.955382;0.81049377;9.647806;88.71118;4.945516;8.090942;75.399864;4.3963404;4.4088964;59.37628;4.282839;0;5.395790917091801;10.30421297352028;0.028472658759312732;0.9445344129554657
2.1374562;2.8160608;13.543243;4.0148797;7.160752;90.567474;4.1702547;3.0955799;35.882362;1.179857;9.466639;42.595276;3.760183;0;-3.2082840710025278;10.51857069855747;-0.005602874781750521;0.9528340080971661
0.30390945;2.8074849;17.188137;2.5069306;7.8053637;82.341736;4.6676874;3.2592688;48.187;2.8204176;3.0365415;60.130306;9.016361;0;3.195816879886943;9.638219337175777;0.01986863069346378;0.9433198380566802
2.520555;0.30512148;30.900913;2.875668;9.52976;14.591633;1.0683925;6.3304324;84.91181;2.1122086;7.315315;66.65842;9.35865;0;8.926733679184752;9.697932532492242;0.03693514627052309;0.9728744939271255
1.7163199;2.2534606;2.0906513;4.219943;3.1504128;10.677443;1.3587309;5.377952;58.133743;2.708577;9.275985;24.730719;9.3593235;0;8.09166349379918;9.24819320508647;0.03374253420227335;0.974089068825911
