;[m3/s]
;Q
2013-10-17;3.038
2013-10-18;2.215
2013-10-19;1.763
2013-10-20;1.586
2013-10-21;1.418
2013-10-22;1.213
2013-10-23;1.185
2013-10-24;1.059
2013-10-25;0.941
2013-10-26;0.858
2013-10-27;1.101
2013-10-28;1.057
2013-10-29;1.942
2013-10-30;1.286
2013-10-31;1.101
2013-11-01;0.993
2013-11-02;1.193
2013-11-03;3.162
2013-11-04;2.918
2013-11-05;4.368
2013-11-06;3.323
2013-11-07;2.601
2013-11-08;2.202
2013-11-09;2.847
2013-11-10;3.267
2013-11-11;3.271
2013-11-12;2.643
2013-11-13;2.143
2013-11-14;1.992
2013-11-15;1.758
2013-11-16;1.552
2013-11-17;1.495
2013-11-18;1.53
2013-11-19;1.483
2013-11-20;1.44
2013-11-21;1.356
2013-11-22;1.319
2013-11-23;1.256
2013-11-24;1.352
2013-11-25;1.306
2013-11-26;1.174
2013-11-27;1.052
2013-11-28;0.983
2013-11-29;0.972
2013-11-30;0.93
2013-12-01;0.848
2013-12-02;0.825
2013-12-03;0.746
2013-12-04;0.757
2013-12-05;0.714
2013-12-06;0.736
2013-12-07;0.69
2013-12-08;0.671
2013-12-09;0.633
2013-12-10;0.609
2013-12-11;0.618
2013-12-12;0.606
2013-12-13;0.586
2013-12-14;0.598
2013-12-15;0.585
2013-12-16;0.585
2013-12-17;0.566
2013-12-18;0.541
2013-12-19;0.878
2013-12-20;1.277
2013-12-21;1.014
2013-12-22;1.306
2013-12-23;1.753
2013-12-24;1.316
2013-12-25;2.391
2013-12-26;2.934
2013-12-27;2.234
2013-12-28;2.035
2013-12-29;2.318
2013-12-30;1.759
2013-12-31;1.556
2014-01-01;1.405
2014-01-02;2.455
2014-01-03;2.439
2014-01-04;2.539
2014-01-05;2.433
2014-01-06;1.969
2014-01-07;1.757
2014-01-08;1.573
2014-01-09;1.429
2014-01-10;1.987
2014-01-11;1.64
2014-01-12;1.533
2014-01-13;1.333
2014-01-14;1.329
2014-01-15;1.206
2014-01-16;1.348
2014-01-17;1.779
2014-01-18;1.348
2014-01-19;1.234
2014-01-20;1.139
2014-01-21;1.108
2014-01-22;1.039
2014-01-23;0.923
2014-01-24;0.965
2014-01-25;0.872
2014-01-26;0.851
2014-01-27;1.011
2014-01-28;0.878
2014-01-29;0.807
2014-01-30;0.739
2014-01-31;0.714
2014-02-01;0.658
2014-02-02;0.667
2014-02-03;0.658
2014-02-04;0.608
2014-02-05;0.608
2014-02-06;0.635
2014-02-07;1.329
2014-02-08;1.254
