;[m3/s]
;"Q
"
25.05.20;
26.05.20;
27.05.20;
28.05.20;
29.05.20;0.058
30.05.20;0.063
31.05.20;0.063
01.06.20;0.059
02.06.20;0.058
03.06.20;0.056
04.06.20;0.077
05.06.20;0.127
06.06.20;0.152
07.06.20;0.152
08.06.20;0.106
09.06.20;0.097
10.06.20;0.111
11.06.20;0.115
12.06.20;0.093
13.06.20;0.086
14.06.20;0.097
15.06.20;0.09
16.06.20;0.101
17.06.20;0.158
18.06.20;0.14
19.06.20;0.108
20.06.20;0.099
21.06.20;0.087
22.06.20;0.083
23.06.20;0.076
24.06.20;0.072
25.06.20;0.066
26.06.20;0.077
27.06.20;0.072
28.06.20;0.122
29.06.20;0.102
30.06.20;0.086
01.07.20;0.075
02.07.20;0.089
03.07.20;0.076
04.07.20;0.069
05.07.20;0.062
06.07.20;0.074
07.07.20;0.066
08.07.20;0.058
09.07.20;0.053
10.07.20;0.05
11.07.20;0.05
12.07.20;0.046
13.07.20;0.043
14.07.20;0.042
15.07.20;0.073
16.07.20;0.108
17.07.20;0.123
18.07.20;0.078
19.07.20;0.063
20.07.20;0.057
21.07.20;0.052
22.07.20;0.048
23.07.20;0.045
24.07.20;0.044
25.07.20;0.044
26.07.20;0.055
27.07.20;0.05
28.07.20;0.045
29.07.20;0.042
30.07.20;0.039
31.07.20;0.037
01.08.20;0.04
02.08.20;0.117
03.08.20;0.127
04.08.20;0.139
05.08.20;0.088
06.08.20;0.08
07.08.20;0.08
08.08.20;0.079
09.08.20;0.079
10.08.20;0.077
11.08.20;0.103
12.08.20;0.066
13.08.20;0.028
14.08.20;0.08
15.08.20;0.084
16.08.20;0.046
17.08.20;0.091
18.08.20;0.05
19.08.20;0.042
20.08.20;0.036
21.08.20;0.028
22.08.20;0.026
23.08.20;0.025
24.08.20;0.024
25.08.20;0.024
26.08.20;0.023
27.08.20;0.024
28.08.20;0.045
29.08.20;0.049
30.08.20;0.162
31.08.20;0.166
01.09.20;0.134
02.09.20;0.109
03.09.20;0.092
04.09.20;0.079
05.09.20;0.061
06.09.20;0.053
07.09.20;0.051
08.09.20;0.046
09.09.20;0.044
10.09.20;0.042
11.09.20;0.042
12.09.20;0.041
13.09.20;0.038
14.09.20;0.038
15.09.20;0.037
16.09.20;0.038
17.09.20;0.037
18.09.20;0.036
19.09.20;0.037
20.09.20;0.037
21.09.20;0.033
22.09.20;0.032
23.09.20;0.037
24.09.20;0.058
25.09.20;0.105
26.09.20;0.205
27.09.20;0.214
28.09.20;0.176
29.09.20;0.179
30.09.20;0.172
01.10.20;0.159
02.10.20;0.154
03.10.20;0.166
04.10.20;0.15
05.10.20;0.151
06.10.20;0.185
07.10.20;0.252
08.10.20;0.219
09.10.20;0.194
10.10.20;0.24
11.10.20;0.213
12.10.20;0.201
13.10.20;0.186
01.05.21;0.302
02.05.21;0.453
03.05.21;0.318
04.05.21;0.269
05.05.21;0.613
06.05.21;0.735
07.05.21;1.484
08.05.21;0.897
09.05.21;0.645
10.05.21;0.618
11.05.21;0.611
12.05.21;0.586
13.05.21;0.462
14.05.21;0.408
15.05.21;0.409
16.05.21;0.488
17.05.21;0.785
18.05.21;0.899
19.05.21;0.78
20.05.21;0.679
21.05.21;0.695
22.05.21;0.806
23.05.21;0.661
24.05.21;0.566
25.05.21;0.522
26.05.21;0.412
27.05.21;0.483
28.05.21;0.374
29.05.21;0.316
30.05.21;0.28
31.05.21;0.251
01.06.21;0.225
02.06.21;0.219
03.06.21;0.219
04.06.21;0.265
05.06.21;0.374
06.06.21;0.36
07.06.21;0.343
08.06.21;0.415
09.06.21;0.409
10.06.21;0.542
11.06.21;0.514
12.06.21;0.412
13.06.21;0.331
14.06.21;0.277
15.06.21;0.243
16.06.21;0.212
17.06.21;0.192
18.06.21;0.171
19.06.21;0.161
20.06.21;0.17
21.06.21;0.212
22.06.21;0.23
23.06.21;0.26
24.06.21;0.522
25.06.21;0.346
26.06.21;0.261
27.06.21;0.247
28.06.21;0.489
29.06.21;0.597
30.06.21;0.546
01.07.21;0.58
02.07.21;0.469
03.07.21;0.37
04.07.21;0.357
05.07.21;0.308
06.07.21;0.28
07.07.21;0.302
08.07.21;0.256
09.07.21;0.268
10.07.21;0.229
11.07.21;0.297
12.07.21;0.227
13.07.21;0.848
14.07.21;0.557
15.07.21;0.797
16.07.21;0.684
17.07.21;0.592
18.07.21;0.476
19.07.21;0.404
20.07.21;0.353
21.07.21;0.307
22.07.21;0.276
23.07.21;0.252
24.07.21;0.237
25.07.21;0.248
26.07.21;0.225
27.07.21;0.214
28.07.21;0.211
29.07.21;0.193
30.07.21;0.183
31.07.21;0.175
01.08.21;0.195
02.08.21;0.176
03.08.21;0.187
04.08.21;0.182
05.08.21;0.176
06.08.21;0.176
07.08.21;0.184
08.08.21;0.174
09.08.21;0.164
10.08.21;0.161
11.08.21;0.16
12.08.21;0.159
13.08.21;0.158
14.08.21;0.158
15.08.21;0.16
16.08.21;0.155
17.08.21;0.145
18.08.21;0.129
19.08.21;0.128
20.08.21;0.124
21.08.21;0.117
22.08.21;0.128
23.08.21;0.125
24.08.21;0.113
25.08.21;0.09
26.08.21;0.093
27.08.21;0.094
28.08.21;0.104
29.08.21;0.143
30.08.21;0.18
31.08.21;0.151
01.09.21;0.124
02.09.21;0.1
03.09.21;0.098
04.09.21;0.098
05.09.21;0.095
06.09.21;0.094
07.09.21;0.092
08.09.21;0.093
09.09.21;0.096
10.09.21;0.101
11.09.21;0.104
12.09.21;0.1
13.09.21;0.103
14.09.21;0.104
15.09.21;0.177
16.09.21;0.176
17.09.21;0.144
18.09.21;0.115
19.09.21;0.124
20.09.21;0.141
21.09.21;0.128
22.09.21;0.114
23.09.21;0.115
24.09.21;0.125
25.09.21;0.14
26.09.21;0.161
27.09.21;0.15
28.09.21;0.163
29.09.21;0.147
30.09.21;0.129
01.10.21;0.138
02.10.21;0.153
03.10.21;0.161
04.10.21;0.166
05.10.21;0.181
06.10.21;0.167
07.10.21;0.166
08.10.21;0.158
09.10.21;0.151
10.10.21;0.148
11.10.21;0.151
12.10.21;0.159
13.10.21;0.167
14.10.21;0.159
15.10.21;0.164
16.10.21;0.165
17.10.21;0.166
18.10.21;0.168
19.10.21;0.165
20.10.21;0.154
21.10.21;
22.10.21;
23.10.21;
24.10.21;
25.10.21;
26.10.21;
27.10.21;
28.10.21;
29.10.21;
30.10.21;
31.10.21;
01.11.21;
02.11.21;
03.11.21;
04.11.21;
05.11.21;
06.11.21;
07.11.21;
08.11.21;
09.11.21;
10.11.21;
11.11.21;
12.11.21;
13.11.21;
14.11.21;
15.11.21;
16.11.21;
17.11.21;
