;[m3/s]
;Q
2013-10-17;1.517
2013-10-18;0.991
2013-10-19;0.74
2013-10-20;0.864
2013-10-21;0.691
2013-10-22;0.561
2013-10-23;0.569
2013-10-24;0.52
2013-10-25;0.426
2013-10-26;0.357
2013-10-27;0.627
2013-10-28;0.48
2013-10-29;0.634
2013-10-30;0.523
2013-10-31;0.462
2013-11-01;0.419
2013-11-02;0.41
2013-11-03;1.117
2013-11-04;0.924
2013-11-05;0.869
2013-11-06;0.778
2013-11-07;0.645
2013-11-08;0.646
2013-11-09;0.835
2013-11-10;2.31
2013-11-11;3.108
2013-11-12;1.851
2013-11-13;1.19
2013-11-14;0.879
2013-11-15;0.702
2013-11-16;0.582
2013-11-17;0.534
2013-11-18;0.484
2013-11-19;0.486
2013-11-20;0.656
2013-11-21;0.652
2013-11-22;0.776
2013-11-23;0.807
2013-11-24;0.878
2013-11-25;0.975
2013-11-26;0.865
2013-11-27;0.718
2013-11-28;0.616
2013-11-29;0.559
2013-11-30;0.555
2013-12-01;0.477
2013-12-02;0.416
2013-12-03;0.387
2013-12-04;0.387
2013-12-05;0.387
2013-12-06;0.387
2013-12-07;0.349
2013-12-08;0.329
2013-12-09;0.305
2013-12-10;0.304
2013-12-11;0.305
2013-12-12;0.305
2013-12-13;0.28
2013-12-14;0.342
2013-12-15;0.338
2013-12-16;0.305
2013-12-17;0.262
2013-12-18;0.237
2013-12-19;0.269
2013-12-20;0.342
2013-12-21;0.312
2013-12-22;0.301
2013-12-23;0.305
2013-12-24;0.305
2013-12-25;2.308
2013-12-26;4.155
2013-12-27;3.866
2013-12-28;3.484
2013-12-29;3.668
2013-12-30;2.342
2013-12-31;1.451
2014-01-01;1.073
2014-01-02;1.173
2014-01-03;0.982
2014-01-04;0.961
2014-01-05;1.078
2014-01-06;0.961
2014-01-07;0.881
2014-01-08;0.769
2014-01-09;0.677
2014-01-10;0.865
2014-01-11;0.685
2014-01-12;0.627
2014-01-13;0.609
2014-01-14;0.616
2014-01-15;0.577
2014-01-16;0.671
2014-01-17;1.0
2014-01-18;0.861
2014-01-19;0.794
2014-01-20;0.713
2014-01-21;0.628
2014-01-22;0.57
2014-01-23;0.527
2014-01-24;0.545
2014-01-25;0.489
2014-01-26;0.502
2014-01-27;0.503
2014-01-28;0.484
2014-01-29;0.443
2014-01-30;0.43
2014-01-31;0.396
2014-02-01;0.389
2014-02-02;0.46
2014-02-03;0.414
2014-02-04;0.387
2014-02-05;0.387
2014-02-06;0.387
2014-02-07;0.468
2014-02-08;0.572
2014-02-09;0.674
2014-02-10;0.602
2014-02-11;0.568
2014-02-12;0.473
2014-02-13;0.625
2014-02-14;0.716
2014-02-15;0.903
2014-02-16;1.778
2014-02-17;1.386
2014-02-18;1.069
2014-02-19;0.854
2014-02-20;0.714
2014-02-21;0.694
2014-02-22;0.627
2014-02-23;0.624
2014-02-24;0.554
2014-02-25;0.541
2014-02-26;0.629
2014-02-27;0.777
2014-02-28;0.766
2014-03-01;0.792
2014-03-02;0.746
2014-03-03;0.737
2014-03-04;0.677
2014-03-05;0.607
2014-03-06;0.541
2014-03-07;0.512
2014-03-08;0.471
2014-03-09;0.43
2014-03-10;0.43
2014-03-11;0.412
2014-03-12;0.387
2014-03-13;0.376
2014-03-14;0.344
2014-03-15;0.344
2014-03-16;0.331
2014-03-17;0.305
2014-03-18;0.305
2014-03-19;0.271
2014-03-20;0.27
2014-03-21;0.27
2014-03-22;0.383
2014-03-23;0.394
2014-03-24;0.435
2014-03-25;0.362
2014-03-26;0.277
2014-03-27;0.255
2014-03-28;0.234
2014-03-29;0.209
2014-03-30;0.209
2014-03-31;0.209
2014-04-01;0.209
2014-04-02;0.198
2014-04-03;0.186
2014-04-04;0.186
2014-04-05;0.186
2014-04-06;0.186
2014-04-07;0.186
2014-04-08;0.167
2014-04-09;0.166
2014-04-10;0.166
2014-04-11;0.165
2014-04-12;0.146
2014-04-13;0.146
2014-04-14;0.146
2014-04-15;0.146
2014-04-16;0.146
2014-04-17;0.146
2014-04-18;0.146
2014-04-19;0.146
2014-04-20;0.146
2014-04-21;0.146
2014-04-22;0.143
2014-04-23;0.127
2014-04-24;0.127
2014-04-25;0.191
2014-04-26;0.387
2014-04-27;0.883
2014-04-28;0.459
2014-04-29;0.477
2014-04-30;0.482
2014-05-01;0.63
2014-05-02;0.741
2014-05-03;0.928
2014-05-04;0.728
2014-05-05;0.607
2014-05-06;0.516
2014-05-07;0.861
2014-05-08;0.616
2014-05-09;0.655
2014-05-10;0.729
2014-05-11;0.78
2014-05-12;0.76
2014-05-13;1.043
2014-05-14;2.155
2014-05-15;1.559
2014-05-16;1.055
2014-05-17;0.769
2014-05-18;0.607
2014-05-19;0.52
2014-05-20;0.432
2014-05-21;0.346
2014-05-22;0.314
2014-05-23;0.402
2014-05-24;0.282
2014-05-25;0.229
2014-05-26;0.209
2014-05-27;0.271
2014-05-28;0.227
2014-05-29;0.198
2014-05-30;0.184
2014-05-31;0.166
2014-06-01;0.159
2014-06-02;0.146
2014-06-03;0.143
2014-06-04;0.154
2014-06-05;0.171
2014-06-06;0.139
2014-06-07;0.119
2014-06-08;0.101
2014-06-09;0.087
2014-06-10;0.085
2014-06-11;0.072
2014-06-12;0.072
2014-06-13;0.072
2014-06-14;0.072
