model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;kf_riv;rhkp;rhkf;man;rch;offset;ME;50E;MAE;50AE;RBIAS;RABIAS;r_rank;r_lin;n_5m;n_3m;n_1m;MAE_sfr;ME_sfr;RBIAS_sfr;RABIAS_sfr;r_rank_sfr;r_lin_sfr;r_rank_multi;MAE_multi
1457;487.5683;1.2130027;9.83981;8.723077;3.5831165;3.059982;1.4817942;6.69832;0.124019116;5.067801;8.431109;2.5704691;2.318529;0.6672862;6.5107527;0.124019116;4.951058;2.5688953;1.1998267;1.3166647;0.4557068;0.124019116;1.1197319;0.00062987;0.000279415;0.94499296;0.92324173;0.84911;;;;;;;;;;;;;;;;;;;
1458;589.13873;4.5925937;7.2209573;1.7660296;2.7091665;2.4142368;1.9047724;4.1196384;0.17909668;7.9241066;5.7659287;1.6404145;2.2868485;2.2954493;4.1196384;0.17909668;7.9241066;2.5213554;0.84234846;0.5427366;0.6430323;0.17909668;1.0068233;0.001330535;0.000377295;1.0158504;1.0733064;2.5201058;;;;;;;;;;;;;;;;;;;
1459;475.66196;1.0211884;1.7405009;5.716125;2.8964393;7.4185944;2.1964827;2.1481347;0.38953233;7.7754693;7.6416693;2.3915138;1.2319014;1.8423786;2.1481347;0.32733533;4.785552;3.9893696;1.1921645;1.2319014;0.94241786;0.29739517;1.1243275;0.001180498;0.000437678;1.0851017;0.92669344;0.58414835;;;;;;;;;;;;;;;;;;;
1460;554.15466;2.9709687;1.605823;4.3717637;3.995538;4.373998;0.5736803;4.6909003;0.42555037;5.0637236;4.11765;3.0747352;1.4336952;1.4580412;4.6909003;0.41459984;5.0637236;4.11765;1.0805991;0.545669;0.12756725;0.13281874;1.0830259;0.000865648;1.87613e-05;1.0696148;0.994129;0.18532515;-3.1492204187893016;0.4576668049550108;6.873710660683162;2.2792401446743042;0.40075461742147145;0.955364306771687;0.7100540271584203;0.4465044366284468;0.8048780487804879;0.6097560975609756;0.2682926829268293;0.5880092020341763;-0.5880092020341763;-0.386216349430019;0.386216349430019;0.8333333333333335;0.9776690640627533;0.701546701571802;5.618160994201629
1461;508.09534;2.6959965;8.3244095;1.7833229;3.9074006;9.235131;2.0982623;6.102107;0.17315689;9.139469;4.01749;3.2508;0.9740967;2.4966495;6.102107;0.17315689;6.4109583;2.945602;0.8480831;0.5150636;0.90162224;0.15380634;1.0773373;0.000849631;0.000356631;0.94582576;0.91905147;2.0638454;;;;;;;;;;;;;;;;;;;
1462;436.56177;3.6109786;4.1824026;6.0343018;2.8204813;8.20651;2.2201257;5.362937;0.42186448;3.9083462;8.328392;2.8204813;1.8895258;1.797214;5.362937;0.18426274;3.9083462;6.2678986;1.0240614;0.5889902;0.95772785;0.18426274;1.0303929;0.001313114;0.000163994;0.95290476;1.0003208;1.7938553;;;;;;;;;;;;;;;;;;;
1463;464.14682;2.1589763;9.310983;2.8367033;3.6671188;9.860388;1.9218531;5.6610885;0.19137482;7.4279866;5.537684;2.2250412;2.4278119;1.1771339;3.5860286;0.19137482;6.0941124;5.537684;1.1825942;1.0911477;0.28704467;0.112374626;1.0696061;0.00131066;0.000225376;1.03704;0.9997778;2.023078;;;;;;;;;;;;;;;;;;;
1464;530.63837;4.4947815;1.9760517;6.1938086;3.8194585;3.6208904;1.8592532;2.2229304;0.36573246;5.2504115;7.4544935;1.9615576;0.76304877;2.2070305;2.2229304;0.10138843;5.2504115;4.3175483;1.0172541;0.76304877;0.42041153;0.10138843;1.1204615;0.000894046;0.000299449;0.94191927;0.9656651;0.31519255;;;;;;;;;;;;;;;;;;;
1465;534.5707;3.937383;2.7089617;8.338239;2.503496;5.221818;2.37735;1.6788698;0.30709258;4.2377167;9.898238;1.7049469;1.7239339;1.4244616;0.48127365;0.2381037;4.2377167;6.855677;1.0403631;0.92361695;0.50345343;0.2381037;1.1218034;0.000609049;0.000318698;1.0675582;0.9332836;1.2221375;;;;;;;;;;;;;;;;;;;
1466;486.95193;2.7291777;7.9358244;4.4839263;3.035212;6.9042997;2.2794278;2.9976015;0.4077259;2.9080272;9.935219;3.035212;1.4708465;2.1618645;2.9976015;0.32635686;2.9080272;6.440627;0.8089612;0.6366022;0.29189578;0.32635686;1.0188313;0.001098328;0.000249236;1.037663;0.9754217;2.3718052;;;;;;;;;;;;;;;;;;;
1467;445.72913;2.432105;8.612018;9.54344;3.5141706;9.770167;1.234517;4.5233197;0.2731534;2.0601196;5.8579845;2.763935;0.55278474;0.88083714;2.5637481;0.2731534;2.0601196;5.8579845;0.9422194;0.55278474;0.2390345;0.18076606;1.0098914;0.000871968;7.15142e-05;0.945572;1.0449376;0.85442704;-2.226960516032801;0.8018428406762723;6.440087410573053;2.004905541969862;0.22476585286762138;0.8107115584356431;0.72974386889312;0.4379009387901512;0.7804878048780488;0.5853658536585366;0.2926829268292683;0.5284444645774644;-0.5284444645774644;-0.3565988695480641;0.3565988695480641;0.8333333333333335;0.9784868051845386;0.717375790025188;5.260218422551273
1468;544.38135;4.263553;8.791487;7.8748636;2.1537232;4.0363007;1.7869031;2.3951056;0.18123959;3.7891283;6.508909;2.1537232;1.2020664;1.2698362;2.3951056;0.18123959;3.7891283;3.0519915;0.9856614;1.2020664;0.9138847;0.18123959;1.0290439;0.001096383;0.000235371;1.0108863;1.0449625;0.9945689;;;;;;;;;;;;;;;;;;;
1469;433.7746;4.028241;1.8021673;8.218967;3.6113682;3.8742843;1.5704823;2.251069;0.4289542;7.7484436;4.4798937;2.9324434;2.1982021;1.2195842;2.251069;0.15150598;7.7484436;2.7501166;1.0475956;0.60054046;0.36152968;0.15150598;1.1055293;0.000468201;0.000137389;1.039146;1.083441;1.6118197;;;;;;;;;;;;;;;;;;;
1470;587.3339;2.5960002;4.374401;1.9218516;2.4220924;6.6035013;0.7135813;7.4048095;0.47068653;5.7610507;6.737255;1.8413874;1.0336928;0.7658753;3.2130542;0.2741401;2.854799;6.737255;1.1676406;1.0336928;0.35545912;0.2741401;1.0935057;0.001049295;0.000259142;0.92266524;1.0242602;2.4876084;;;;;;;;;;;;;;;;;;;
1471;437.58072;2.3654873;6.782116;9.4710455;2.9579473;6.9540315;0.96015185;5.910886;0.34968185;8.115546;8.678947;2.697163;2.4757173;1.6512915;3.2898014;0.34968185;8.115546;8.678947;1.1861968;0.70404494;0.63509727;0.34968185;1.1517527;0.001145551;0.000110554;1.0196579;1.0233058;2.6520483;;;;;;;;;;;;;;;;;;;
1472;421.46246;1.1555519;9.26104;1.2142154;2.7504077;2.6194196;1.5097687;3.3393228;0.44587284;9.760977;3.2901359;2.7504077;2.0871642;1.8696347;3.3393228;0.41840857;4.545919;3.2512028;1.1445051;0.78073496;0.9584255;0.3253141;1.1585094;0.000815426;0.000312575;0.9382057;1.0343921;1.0096334;;;;;;;;;;;;;;;;;;;
1473;499.52954;1.326829;3.0750368;8.579447;3.4803386;5.0357146;1.4043236;1.7984443;0.10880518;3.2170937;2.5556905;1.9593617;1.0233574;0.88496655;1.7984443;0.10880518;3.2170937;2.5556905;0.85829437;1.0233574;0.4163212;0.10880518;1.00334;0.001018528;0.000426907;1.0510412;0.9188579;1.9098531;;;;;;;;;;;;;;;;;;;
1474;503.9099;1.2156738;6.36312;1.169821;2.466329;4.33404;1.6472222;1.9786068;0.31813753;4.7740483;5.4055495;2.1976948;0.7838673;2.14454;1.9786068;0.12645778;4.7740483;5.1186833;0.8361584;0.7838673;0.39556158;0.12645778;1.1317269;0.000777652;0.000461866;1.0303179;0.90015;1.3535264;;;;;;;;;;;;;;;;;;;
1475;501.63858;1.097662;2.2060256;2.3783627;2.932716;4.732278;2.0943217;3.5791688;0.25418717;3.6516738;6.0171742;1.5284997;0.94517213;1.6906313;0.26050478;0.10634288;2.0095763;6.0171742;1.0658094;0.8587871;0.56922686;0.10634288;1.0168625;0.001159662;0.00010387;1.0165954;1.0089576;1.9696302;;;;;;;;;;;;;;;;;;;
1476;487.3335;1.6114895;7.7002363;3.7696404;2.5311582;2.1782055;2.107149;2.3710124;0.3845885;6.685177;2.2268164;2.5311582;2.0970871;2.2607014;2.3710124;0.22785176;3.181434;2.2268164;0.9293098;0.6245639;0.7536737;0.15879916;1.1937587;0.000702958;0.000162228;0.9133131;0.92443323;0.323561;;;;;;;;;;;;;;;;;;;
1477;598.96295;4.4285674;2.0604725;7.613621;2.1096044;6.7981195;1.0438365;1.1551241;0.2314883;8.129951;4.8866806;2.1096044;0.9897423;1.892838;1.1551241;0.19260043;3.8321238;4.8866806;1.1319288;0.9897423;0.8169647;0.19260043;1.186323;0.00087349;0.00024948;0.9521186;0.9485682;0.34934795;;;;;;;;;;;;;;;;;;;
1478;497.25613;4.1926374;9.999841;9.084725;3.6870239;2.6064663;1.0308526;6.248344;0.105432555;3.712665;3.1481924;2.2337458;1.1233609;1.0663695;5.97298;0.105432555;2.5958061;2.2191503;0.9985997;1.1233609;0.11598773;0.105432555;1.1709385;0.000999142;0.00013963;1.0570443;1.0887029;0.043474525;-1.5037622240393094;2.1982867677023705;6.725665277152449;2.817937137411377;0.019467767522802607;0.7556179616397907;0.7461230292741978;0.4398175523484697;0.7560975609756098;0.5365853658536586;0.3170731707317073;0.4516472641149677;-0.43531569218025157;-0.28283078148868823;0.3236597113254785;0.880952380952381;0.9793292955243229;0.7380130048600226;5.477754009336669
1479;495.58932;4.3822956;1.7396288;6.965139;2.44904;1.1312834;1.7310636;2.6927526;0.2890392;8.39314;9.802612;2.2718794;0.7487273;2.0331259;2.6927526;0.14245667;8.39314;2.84478;0.89559007;0.7487273;0.11073844;0.14245667;1.1388994;0.000916431;0.000168866;0.99076223;0.9509857;0.93058723;;;;;;;;;;;;;;;;;;;
1480;484.3532;3.4952013;7.136568;7.5226936;2.4648342;5.4134846;1.2577016;6.594319;0.33778173;2.312507;6.9301314;2.4648342;1.9010959;0.8449359;6.594319;0.26550972;2.312507;6.3553953;1.0153216;1.1592923;0.30600822;0.26550972;1.1933268;0.001036815;0.000288215;1.0253801;1.0082835;1.7423873;-2.9860699668752697;0.3471928035873191;6.688572105460358;2.23084469072262;0.4304430963390865;0.9291419661771112;0.7107510127065513;0.4301890281533837;0.7804878048780488;0.6341463414634146;0.2926829268292683;0.5946896407235647;-0.5946896407235647;-0.41457793605743415;0.41457793605743415;0.9047619047619048;0.9777551832375226;0.7133115050796832;5.470372028424769
1481;413.36514;3.4962523;7.9710536;3.5369327;2.0935178;1.2512511;2.4199402;7.116458;0.37113723;7.1882696;7.113011;2.0935178;1.2512511;0.88489085;2.1858964;0.107912086;5.4058304;7.113011;0.99921274;0.59065527;0.20370738;0.107912086;1.022688;0.000704721;0.000243255;1.0557048;1.0901574;2.3973775;;;;;;;;;;;;;;;;;;;
1482;518.5913;1.495727;3.2477071;9.775927;3.0053935;6.9613442;1.7688222;4.1451087;0.43317068;8.7806225;2.0856628;2.550165;1.9790324;1.955957;4.1451087;0.10004456;3.452238;2.0856628;1.1898223;1.4728005;0.8424653;0.10004456;1.0417389;0.000490122;0.000321454;1.0680425;0.9547878;1.9015269;;;;;;;;;;;;;;;;;;;
1483;445.59357;3.7958615;3.218941;4.6103816;2.537928;6.308674;1.0159532;2.6411529;0.499932;9.342969;2.4711392;2.5311515;1.1876026;1.4587566;2.6411529;0.31689957;9.342969;2.4711392;0.98959225;1.0670848;0.76422256;0.15936105;1.1109641;0.001230089;0.000193823;1.0039821;0.9678989;0.8229682;;;;;;;;;;;;;;;;;;;
1484;527.5218;2.1201057;6.3249383;9.207516;3.131003;6.057296;0.7110842;5.1691914;0.40499696;4.844446;4.7163706;1.7501769;2.262039;1.7821308;2.3377295;0.40499696;4.844446;4.7163706;1.0332649;0.79726344;0.7704768;0.37391338;1.1393968;0.000798034;0.000289068;1.0743984;0.9056351;0.36491764;;;;;;;;;;;;;;;;;;;
1485;410.1667;3.0770133;6.6373186;7.991214;3.4470587;1.7664167;1.9476157;7.1677704;0.22219504;2.8593156;3.116771;2.530954;1.3880411;2.2060933;7.1677704;0.13694912;2.7336226;3.116771;0.8171639;1.1671269;0.77924895;0.13694912;1.1088686;0.001341796;0.000307886;1.0965668;1.0626532;0.17747584;;;;;;;;;;;;;;;;;;;
1486;596.2774;4.8188906;7.456786;4.2421255;2.0918593;2.02719;1.1413554;5.891993;0.47610134;6.007765;2.7284849;1.8523079;1.6740302;0.50678873;5.28391;0.20776433;6.007765;2.7284849;1.0912029;1.2854372;0.5413465;0.20175341;1.0978104;0.001324992;8.48028e-05;0.99701214;0.9586637;2.4978395;;;;;;;;;;;;;;;;;;;
1487;493.80103;4.4824615;6.1806755;4.022531;2.4009795;6.9549727;0.8826669;1.9993051;0.37126854;5.724342;4.455667;2.4009795;1.4565508;2.0483892;1.9993051;0.32466018;2.8693948;4.455667;1.0441978;1.2981949;0.19999275;0.16542846;1.1945813;0.000569432;0.000340524;1.093896;1.0013596;2.142396;-3.1746691281656365;0.016306078977891048;6.631132997010199;2.4174187008771924;0.43332075213740123;0.9261044111808112;0.7290468833449891;0.4372369485571015;0.8536585365853658;0.6097560975609756;0.34146341463414637;0.5903630664974249;-0.5903630664974249;-0.39732903719660106;0.39732903719660106;0.8571428571428572;0.9785041947360757;0.7205502955742631;5.423516811948971
1488;579.3511;1.9327741;2.4876475;7.083277;2.7817826;1.1930844;1.0049313;6.353065;0.45787358;7.002671;9.577303;2.7817826;0.58025223;1.4094274;6.353065;0.43963534;3.6998045;9.059392;0.9125899;0.58025223;0.5240453;0.27072763;1.1472007;0.00059697;0.00039215;1.0005397;0.92426986;2.2589571;;;;;;;;;;;;;;;;;;;
1489;495.11224;3.9466023;9.309706;9.458289;3.7595272;1.9547536;1.8891367;4.660524;0.266279;6.643185;9.469753;2.9072492;0.7456531;0.6672268;4.660524;0.25340748;5.361498;9.469753;1.1942275;0.5414789;0.336438;0.25340748;1.1581491;0.000788607;0.000336126;1.0503951;1.0588653;1.1508809;-3.366370735098187;0.37442504065538174;6.855337629111718;1.887808044288704;0.32042223999385727;0.8521554426407214;0.7339257821819059;0.4508256222653986;0.8292682926829268;0.6829268292682927;0.3170731707317073;0.557911897751054;-0.557911897751054;-0.3760983754761663;0.3760983754761663;0.8571428571428572;0.9757585612655499;0.7244725475804117;5.59866937207037
1490;412.06616;1.416363;2.4161654;7.0183344;2.2194505;7.8502975;1.8161945;3.9740367;0.15679882;3.5901885;6.5859838;2.038986;1.2963121;1.3173808;3.080618;0.15679882;2.1371453;6.5859838;1.0552694;0.9102718;0.12095006;0.15679882;1.0241127;0.00120113;0.000404165;0.9295357;0.93142784;1.210056;-2.7495780931391742;0.9081599984788227;6.9570458433560525;1.831894660925343;0.24737585491931716;0.8332408643242941;0.7609339721719807;0.4298940136931841;0.8048780487804879;0.6097560975609756;0.3170731707317073;0.6103045524991808;-0.6103045524991808;-0.405613030489501;0.405613030489501;0.8333333333333335;0.9798729692702559;0.7424501867787818;5.688653254854737
1491;564.4427;1.10697;6.0436707;8.702586;3.4876602;2.419409;0.7016301;2.1838;0.37270126;2.3642955;5.870985;1.5792942;0.53539413;1.16031;2.0703154;0.13865283;2.3642955;4.151786;0.9455406;0.53539413;0.6516095;0.13865283;1.1640007;0.000917965;0.000129538;0.9407993;1.061176;2.8367267;-3.010477052598029;0.17396691808190212;6.019705032106767;1.6962663349639797;0.4145994448973652;0.8388526635884289;0.7501197794475403;0.4484059622402169;0.8048780487804879;0.6829268292682927;0.36585365853658536;0.6072368307948026;-0.6072368307948026;-0.42612887782593467;0.42612887782593467;0.7380952380952381;0.966405659841279;0.7188171149433541;4.934623548288939
1492;529.6367;1.1126971;9.272026;9.693173;3.9071648;5.4112206;1.8296552;4.5081887;0.1542617;9.762851;4.9483438;2.3891952;2.4657962;0.54652655;4.5081887;0.1542617;8.156985;4.9483438;0.94977605;0.5650472;0.14713813;0.1542617;1.0594305;0.001377262;0.000248043;1.0937419;0.9951838;1.1066077;;;;;;;;;;;;;;;;;;;
1493;556.3514;1.6809859;9.208023;3.903024;2.155334;1.7963805;1.7331389;5.802037;0.44803122;5.297621;9.89811;1.7563479;1.7963805;1.648423;3.8355722;0.31078437;5.297621;7.593551;1.0342221;0.96215916;0.48468435;0.31078437;1.1533281;0.000552159;0.000434197;1.043653;0.9307013;0.7272952;;;;;;;;;;;;;;;;;;;
1494;485.63397;3.7797935;2.427949;5.800273;2.6660187;3.0392158;2.1005192;3.4583955;0.35671407;6.598703;3.766461;1.8287412;1.9248507;1.7303042;3.4583955;0.35671407;6.598703;3.766461;0.8262419;1.2414024;0.6872063;0.35671407;1.0569922;0.001142317;4.92592e-05;0.95221263;1.0195557;1.7688645;;;;;;;;;;;;;;;;;;;
1495;527.58734;2.4532235;3.0712845;6.442884;3.5391357;8.902235;0.6741168;7.194321;0.27704722;2.2940974;4.6429267;3.3868628;0.6261517;1.5817515;5.2138915;0.1541249;2.2940974;2.2019029;1.1951902;0.6261517;0.54250044;0.1541249;1.0527258;0.001186091;0.000357378;0.96537435;0.93805724;1.699819;-3.9489538164426135;0.5090449528626095;7.3505319828189;1.7165067631333386;0.4678296190290009;0.9357058836539137;0.7260846947654326;0.42705661920773463;0.7804878048780488;0.6829268292682927;0.24390243902439024;0.7147443081493217;-0.7147443081493217;-0.4962853129448378;0.4962853129448378;0.7380952380952381;0.9688254641507495;0.6994947919636204;6.02136795609352
1496;571.2458;1.0637697;6.37684;2.8763075;3.8703635;7.7541466;1.0446212;2.101725;0.15142344;3.3908334;7.1310425;2.9492455;1.983978;1.6057299;2.101725;0.15142344;3.3908334;3.6987023;1.0075167;1.0653434;0.67921144;0.15142344;1.0892534;0.001293326;0.000150591;0.9662539;1.0512089;2.8711212;;;;;;;;;;;;;;;;;;;
1497;526.2131;4.9520907;3.9681954;8.157694;2.4934576;2.6155386;2.107092;1.140332;0.21248801;5.938608;7.889377;1.6108503;1.2061558;1.2442473;1.140332;0.10794552;2.2571824;4.204843;0.98144156;1.1461554;0.9271022;0.10794552;1.1114465;0.000731388;0.000272858;0.9735281;1.0053074;1.1384848;;;;;;;;;;;;;;;;;;;
1498;469.53473;3.1335137;7.5510373;3.2819986;3.2837605;2.852484;1.3793495;4.296595;0.21307154;5.622409;2.0735617;2.2280269;1.8003755;2.118139;3.3091617;0.21307154;5.063259;2.0735617;0.91527385;0.7827231;0.43819302;0.21307154;1.1421468;0.001386275;0.000102603;1.0555545;1.0911173;1.4597198;-2.5269187658592744;0.41792471530160924;5.8876910913818055;1.8945706568889022;0.28247107059075943;0.7738437509342012;0.7515246672722127;0.47261890496224945;0.8292682926829268;0.6829268292682927;0.34146341463414637;0.5322958747515061;-0.5322958747515061;-0.36773470743070485;0.36773470743070485;0.9047619047619048;0.9742874157583856;0.7460903254167834;4.816739249895414
1499;532.5059;2.5755208;5.653879;7.332559;3.4631271;5.2113957;2.317849;2.1107955;0.1184568;3.9798667;3.8720121;1.6240385;1.5670793;1.904561;1.3991188;0.1184568;3.9798667;3.1247036;0.9332556;1.0919728;0.5907672;0.1184568;1.0194426;0.000566318;0.000462543;1.0780076;1.0218484;2.7546113;;;;;;;;;;;;;;;;;;;
1500;534.37085;3.0753996;3.3214195;5.6668005;2.8080478;6.6538653;1.8841256;5.1731067;0.15846018;8.4213;3.266951;2.8080478;1.2875684;1.3873887;1.1782947;0.15846018;5.2150846;3.266951;0.9314559;1.2875684;0.18916854;0.15846018;1.0439965;0.000601133;0.000435127;0.94320333;0.9246305;1.0857617;-2.8689948455777645;0.38032881283965025;6.64611600561644;1.7704339147315409;0.23371812376514745;0.8078598795655931;0.7410698840502482;0.46340351308667854;0.8292682926829268;0.6097560975609756;0.3170731707317073;0.646777116923401;-0.646777116923401;-0.43162845166969555;0.43162845166969555;0.8571428571428572;0.9783161413305516;0.7302158451608438;5.4444112385423775
1501;592.1174;3.0798836;4.640445;8.513706;3.3390563;6.1990957;0.6084531;3.817279;0.34341374;9.2547035;2.732542;3.3271587;2.462271;1.3656116;3.817279;0.34341374;8.546462;2.732542;1.1830616;1.3136292;0.47389838;0.34341374;1.0908699;0.001152811;0.000351259;1.0343151;1.0397631;1.1990885;;;;;;;;;;;;;;;;;;;
1502;474.18246;2.8809464;7.1891108;5.555151;3.0982547;3.4903526;1.4025452;3.6718545;0.11527158;4.325732;8.005394;3.0982547;2.108722;0.5332747;3.6718545;0.11527158;4.325732;3.6946008;0.93049514;0.73886967;0.7598997;0.11527158;1.1115068;0.00101873;0.00034136;1.0246527;0.9912168;1.3512577;;;;;;;;;;;;;;;;;;;
1503;485.01636;3.4517956;8.044786;6.2386723;3.8743536;9.515343;1.0939039;3.9564574;0.28957695;7.5263376;7.048716;1.7901676;1.3423398;1.289889;1.5214366;0.28392377;5.6022987;5.212815;1.0863296;0.9095899;0.5058929;0.12050288;1.0538577;0.001047292;0.000222736;1.013215;1.034844;2.2897537;;;;;;;;;;;;;;;;;;;
1504;562.4246;4.5425067;4.263005;2.5477583;3.0774422;8.49987;2.0218394;1.7871785;0.33822325;3.2820842;7.366474;2.9587114;2.2759538;1.0880294;1.2855804;0.33822325;3.2820842;7.366474;1.0079709;0.83421963;0.76064205;0.33822325;1.1644932;0.000560478;0.00032068;0.911079;0.9710338;1.4169278;;;;;;;;;;;;;;;;;;;
1505;501.15247;2.2068548;1.855367;8.254499;3.033228;6.829682;0.79980034;2.7855856;0.19863626;2.8331366;3.9736288;1.6930939;1.2523447;1.5112929;2.7855856;0.19863626;2.3070085;3.9736288;0.8594561;1.1880058;0.87582093;0.19863626;1.1592911;0.000663254;3.15722e-05;1.0221992;0.9999063;0.34808317;;;;;;;;;;;;;;;;;;;
1506;547.31464;2.9478745;4.114821;4.559332;3.3385909;9.162389;2.2652273;3.9100466;0.49804905;3.4317782;9.963946;3.3093555;0.7949461;1.7023635;3.8403676;0.28573325;3.358088;6.6450067;0.99495214;0.52858824;0.7066841;0.23015225;1.1493042;0.000705301;3.10845e-05;1.0375005;0.90514284;2.3513038;;;;;;;;;;;;;;;;;;;
1507;491.9419;1.014576;6.6372833;6.175675;2.304595;3.5755196;1.9594067;5.967504;0.2830561;3.1847913;9.5861435;1.7525444;0.8506724;1.123074;5.967504;0.24759752;3.1847913;3.4297576;0.82965106;0.8506724;0.13912375;0.24454722;1.0141915;0.000628792;0.000259655;1.025005;0.9676219;2.6421692;;;;;;;;;;;;;;;;;;;
1508;443.09903;4.439257;7.8144727;8.599134;3.0619166;3.6279256;1.671738;6.750236;0.40159214;5.909555;5.4483194;1.5282483;1.4953675;0.9589088;6.750236;0.40159214;5.909555;5.4483194;1.024282;0.5737468;0.3962328;0.19744062;1.1226774;0.000683308;0.00017191;1.0042621;0.9350002;1.4909499;-3.905258632267101;-0.027359221885376428;6.653609026371569;1.8240609290809289;0.5601668145287327;0.9773372864496203;0.7189405928970901;0.4594469406704813;0.8292682926829268;0.7073170731707317;0.3170731707317073;0.7243055473789441;-0.7243055473789441;-0.4926279498226417;0.4926279498226417;0.8095238095238096;0.9691066797498159;0.7049559761759053;5.462596361965998
1509;549.0408;2.2236156;8.904899;5.262441;2.1013732;3.712;1.6224368;2.763613;0.18899503;3.6752293;3.296426;1.8911456;0.96214527;1.6854119;2.763613;0.18899503;3.6752293;3.296426;1.0821928;0.96214527;0.6468905;0.18899503;1.0966501;0.000889696;0.000106112;1.0109644;0.9382091;1.8797228;;;;;;;;;;;;;;;;;;;
1510;426.23105;2.0851877;9.653671;3.3976283;3.2540479;2.359669;2.4037879;2.0219162;0.11365396;4.0489006;3.9530153;1.7637435;1.0911006;0.7515386;2.0219162;0.11365396;4.0489006;3.9530153;0.94182163;0.8935185;0.74152964;0.11365396;1.1220554;0.00070085;0.000390656;1.0811007;1.0396503;0.43016994;;;;;;;;;;;;;;;;;;;
1511;439.71674;4.9901485;5.717214;3.3152075;3.0693274;2.1734328;2.2273724;3.3757703;0.12927692;3.7841823;6.279881;1.7644725;1.4393704;2.1661162;3.3757703;0.12927692;3.7841823;3.4108913;0.93794626;1.2741911;0.79933566;0.12927692;1.1230128;0.000875261;0.000162653;0.95046765;0.99807715;1.2743934;;;;;;;;;;;;;;;;;;;
1512;525.365;3.3375719;8.909887;6.0535665;3.6788003;9.174295;2.3439186;3.394901;0.21698426;7.1385303;7.861952;3.0248885;0.6379617;1.3067788;3.394901;0.21496871;7.1385303;3.2859914;0.8267658;0.6379617;0.5002739;0.21496871;1.0149568;0.001233345;0.000342303;0.94182485;1.0352108;1.1441329;;;;;;;;;;;;;;;;;;;
1513;549.454;1.492173;3.28491;3.5499568;3.5954063;8.705463;2.1444614;3.9469829;0.22161174;9.37649;2.6087186;2.7920392;1.5980917;1.4024786;3.7326295;0.22161174;8.105956;2.6087186;0.91772527;1.1048322;0.5592922;0.22161174;1.190924;0.00129064;0.000461666;1.0227854;1.0381984;2.6969836;-3.631476817257665;-0.2493740861124536;6.127151145173272;1.9529724882977746;0.46178366402839294;0.8566849732526473;0.7588430155275877;0.490231710017595;0.8292682926829268;0.6829268292682927;0.3170731707317073;0.6299340393893067;-0.6299340393893067;-0.44107158898010057;0.44107158898010057;0.7380952380952381;0.9676798629010008;0.7258299125763334;5.024562142494482
1514;578.93756;2.0621;5.9928308;3.9808042;2.8650901;5.8950357;1.2013985;4.9786663;0.17671041;4.219981;8.816279;1.5524213;1.2948064;1.5768572;4.9786663;0.17671041;4.138539;6.3115544;0.9311433;0.89771956;0.10649351;0.17671041;1.1856406;0.001309646;0.000315391;0.9845201;0.90034;0.5856924;-2.657095541134474;0.8203478499455343;6.631898296906652;1.8692277547845322;0.25513053427912047;0.8371841076714784;0.7349712605041022;0.4504858122605644;0.8292682926829268;0.6585365853658537;0.3170731707317073;0.6463131859134084;-0.6463131859134084;-0.4290219574882476;0.4290219574882476;0.8333333333333335;0.9792000197556766;0.7215782028889188;5.432908542362353
1515;454.5173;2.4129064;5.808403;3.036727;3.3179867;6.9116116;0.8395151;3.7489974;0.2338908;3.9560306;3.813103;2.2773812;1.2046633;1.841917;3.7489974;0.18450701;3.9560306;3.813103;0.90913355;0.7433015;0.27631167;0.18450701;1.0956525;0.000832485;0.00019849;1.0051944;0.9559534;2.5975902;;;;;;;;;;;;;;;;;;;
1516;422.14487;4.94424;7.895117;4.9612103;2.6066298;3.0704079;1.096215;2.6509461;0.1486484;2.9907632;8.838978;2.4900284;0.8468103;0.7181161;1.9759872;0.1486484;2.9907632;7.0491047;1.0491116;0.8468103;0.22595565;0.1486484;1.1293375;0.001160112;0.000410835;1.0486498;0.9191802;1.411285;-3.036840860391227;0.7070779941519447;6.959986432267345;1.8709849210128198;0.2745979607363206;0.830780605009721;0.7520474064333109;0.4344066030710948;0.8292682926829268;0.5853658536585366;0.34146341463414637;0.6484195861021047;-0.6484195861021047;-0.43447279992875565;0.43447279992875565;0.8333333333333335;0.978500006508918;0.7353060849104396;5.696996086505451
1517;591.20935;2.7224867;7.935418;5.141348;2.7756755;1.1080568;2.4232848;1.5270776;0.45453557;9.879797;6.500717;2.2967906;1.1080568;1.4948744;1.5270776;0.3524385;8.826992;5.766939;0.87837636;0.7263367;0.7706168;0.3524385;1.0166218;0.000646149;0.000371755;1.0488286;1.0346626;2.036786;;;;;;;;;;;;;;;;;;;
1518;430.8846;1.9205359;3.496621;5.685877;2.156049;4.918436;2.427216;6.2232637;0.22175227;8.591391;6.2583814;1.8281624;0.6291998;1.2530513;4.587812;0.22175227;3.4791343;6.131757;1.1467382;0.6291998;0.9850195;0.19063787;1.0060575;0.000618459;0.000214056;0.96976054;1.0152059;1.0768166;;;;;;;;;;;;;;;;;;;
