[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[m];
-8_1_1;-7_1_1;-6_1_1;-5_1_1;-7_2_1;-5_2_1;-4_2_1;1-3_2_1;1.8-3_2_1;3-3_2_1;4-3_2_1;-7_3_1;-5_3_1;-4_3_1;1-3_3_1;1.8-3_3_1;3-3_3_1;4-3_3_1;-7_4_1;-5_4_1;-4_4_1;1.8-3_4_1;-8_1_2;-7_1_2;-6_1_2;-5_1_2;-7_2_2;-5_2_2;-4_2_2;1-3_2_2;1.8-3_2_2;3-3_2_2;4-3_2_2;-7_3_2;-5_3_2;-4_3_2;1-3_3_2;1.8-3_3_2;3-3_3_2;4-3_3_2;-7_4_2;-5_4_2;-4_4_2;1.8-3_4_2;rch;offset;complete
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.666;1.0;1.0;1.0;1.0;1.0;1.0;0.221778;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;2.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.666;1.0;1.0;1.0;1.0;1.0;1.0;0.221778;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;2.5;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.666;1.0;1.0;1.0;1.0;1.0;1.0;0.221778;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;5.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.666;1.0;1.0;1.0;1.0;1.0;1.0;0.221778;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;10.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.666;1.0;1.0;1.0;1.0;1.0;1.0;0.221778;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;20.0;0
53.365726;328.88495;170.31139;46.677067;166.81085;77.61252;6.2969294;1.9689736;0.49369332;0.39876366;1.9491928;111.09603;16.491331;5.9297175;0.64781874;0.49369332;0.39876366;1.0372366;51.058887;16.491331;9.332826;0.49369332;966.13214;938.4745;869.7348;76.237816;946.3226;89.403534;5.5824594;0.6317002;0.57299924;1.051926;0.32827768;946.3226;24.623396;8.032948;0.6276694;0.57299924;1.051926;0.32827768;29.085861;24.623396;9.951969;0.015763408;1.0485598;0.0;0
162.7466;596.0829;880.4871;66.10443;696.0772;28.485174;3.404437;0.50345564;1.0177294;0.8448498;1.3163677;266.5395;28.485174;1.3236401;0.50345564;0.9093351;0.8448498;0.94177085;54.87677;28.485174;9.618884;0.19006;364.57645;121.91609;952.81116;38.33976;649.42584;18.158371;3.9822907;0.0955293;0.36965573;0.09558671;0.22225511;649.42584;18.158371;3.0439606;0.0955293;0.36965573;0.09558671;0.22225511;96.68451;18.158371;1.0803316;0.042844653;0.80951595;0.0;0
686.21844;35.27652;653.9521;58.821495;287.30783;15.030577;8.679353;0.20032398;1.4935898;1.0014062;0.9304955;191.34702;3.8126888;6.162784;0.20032398;1.4935898;1.0014062;0.9304955;19.132717;3.8126888;1.1985326;1.1832947;698.03955;95.02661;61.739647;26.699684;446.39246;30.966436;1.175719;1.0506307;1.0845642;0.33421862;0.26197386;340.37732;17.353287;4.853422;0.5084783;0.17063542;0.2693988;0.26197386;56.913086;14.837868;9.406758;0.17063542;0.8917035;0.0;0
747.3145;17.381866;581.0929;88.52125;184.97568;80.78491;9.101516;0.23097329;0.32543665;1.4309602;1.4662083;123.1938;70.14379;5.368596;0.23097329;0.32543665;0.5370841;1.4662083;45.170746;70.14379;3.9169436;0.32543665;381.32663;884.6507;962.6583;54.349373;539.6102;34.55049;3.5232482;0.9867242;0.6174949;1.0507026;0.5616363;539.6102;14.495341;6.0470552;0.7931011;0.6174949;0.23554231;0.5616363;46.16704;14.495341;4.054404;0.6174949;1.1080627;0.0;0
967.83466;853.1254;753.8253;47.43708;508.35684;3.3759778;7.221621;1.610551;0.88060033;0.9055676;0.87615997;51.263046;3.3759778;7.5656667;1.610551;0.88060033;0.9055676;0.87615997;26.43698;3.3759778;1.2319896;0.4760348;546.56104;185.25339;744.6401;62.109715;816.4441;71.250496;5.4493146;1.446168;1.5975344;0.789474;1.5563555;578.3561;71.250496;7.607073;0.99043864;1.5975344;0.20894273;0.19141221;46.04427;4.1645527;3.45732;0.5641069;1.1026628;0.0;0
332.5671;55.959805;728.73895;17.88094;752.91174;67.935974;7.101787;1.2671659;1.31003;1.2736275;0.22231016;579.64966;26.578615;8.30667;0.44948265;1.31003;0.45835263;0.22231016;10.583693;26.578615;9.34409;1.0533619;227.69809;905.0566;923.7654;2.067873;248.69086;25.510681;1.2787203;0.5030304;0.47375917;0.15646292;0.7103675;248.69086;10.146086;9.76599;0.5030304;0.47375917;0.15646292;0.4854226;58.713516;10.146086;9.473047;0.47375917;0.7869411;0.0;0
376.7551;529.5472;119.42093;21.536745;276.90262;47.643833;4.936615;1.5146791;1.765088;0.2120175;1.0001631;184.41714;47.643833;2.248411;1.5146791;0.2371263;0.2120175;0.057288438;47.164482;7.5085764;4.527772;0.2371263;918.4599;12.288426;34.551895;32.448574;920.0479;7.486362;0.6073268;0.14007111;1.8934749;1.1589047;1.0858916;920.0479;7.486362;6.0029836;0.14007111;0.7891716;0.82481796;0.4266478;73.42012;7.486362;2.2788587;0.30732676;1.1820573;0.0;0
474.86026;618.8379;999.47144;84.62105;724.8186;7.6224008;0.7875703;1.8113408;1.3116653;1.5299324;1.9112499;482.7292;7.6224008;1.1090206;0.21152867;0.5478595;0.76466095;1.3586558;19.378849;7.6224008;9.0997715;0.5478595;691.8524;964.43756;942.66345;36.752575;136.70155;14.432294;5.5669217;1.3760709;0.19746426;0.89347494;1.6079861;58.284996;14.432294;0.78060174;1.0461862;0.19746426;0.4626847;1.6079861;33.510143;14.432294;3.277171;0.19746426;1.0238719;0.0;0
197.57664;206.18951;942.4708;0.97122335;467.35535;68.88727;9.9903;0.46027583;0.16936685;0.01651818;0.55247754;362.11636;21.249176;9.2444315;0.13910015;0.16936685;0.01651818;0.31933615;26.682764;17.158875;4.54642;0.16936685;79.91039;149.63182;189.32956;42.540035;995.3036;54.43745;1.3174617;1.3983854;0.49838585;1.7100297;1.9266331;859.2047;3.224557;6.909061;1.3983854;0.49838585;1.537181;0.3307253;77.32125;3.224557;4.0655875;0.23093012;0.98365813;0.0;0
138.62228;896.77356;897.62604;86.926125;409.735;48.339123;0.16539825;0.7345298;0.6499073;1.2878888;0.115221046;272.8835;43.2033;7.4092073;0.7345298;0.31491137;0.94025743;0.115221046;37.692425;7.909601;0.9170554;0.31491137;228.20963;174.47852;88.36628;9.620798;600.73175;56.306133;3.3897667;0.010498593;0.9808419;1.6113222;1.9340742;54.274883;27.020456;1.6617403;0.010498593;0.31448105;1.3479524;0.91706103;34.890854;21.546717;7.0547214;0.31448105;0.9739243;0.0;0
