model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;kf_riv;rhk;rch;offset;converged;ME;50E;MAE;50AE;RBIAS;RABIAS;r_rank;r_lin;n_5m;n_3m;n_1m;MAE_sfr;ME_sfr;RBIAS_sfr;RABIAS_sfr;E_multi
6315;501.16623;59.946777;7.6368318;7.8919935;46.018726;4.3355107;0.74221355;9.54979;9.294306;1.5092083;1.0758547;21.741053;1.9312651;2.1851966;3.8992677;7.6898756;0.82178646;1.0758547;15.850931;1.7887238;0.73848325;1.9862552;6.7166014;75.86507;0.96550024;0.0;0;;;;;;;;;;;;;;;;
6316;506.29987;54.060444;8.041203;8.717127;47.878292;9.896384;2.2461164;3.379075;5.952611;7.693924;4.107969;24.444674;1.7461357;2.113191;3.264266;3.364577;1.1913087;0.8993499;8.751147;1.1518401;0.7747773;2.345427;3.3953402;17.80607;0.9885838;0.0;0;;;;;;;;;;;;;;;;
6317;541.298;51.854897;3.0120802;4.0968843;42.44825;7.9432516;2.2234046;3.4017477;2.6764123;4.1129518;2.623517;20.590084;0.8040971;1.1690153;3.4017477;2.6764123;1.9099386;2.623517;18.9786;0.7277569;1.9488735;1.2399118;8.868977;136.57152;1.0228922;0.0;0;;;;;;;;;;;;;;;;
6318;497.7481;48.263344;1.8613524;5.3967896;42.602642;6.86905;2.200868;7.0212884;7.0578647;9.106236;4.1630125;12.050368;0.6633012;1.4773196;0.76039016;2.172886;6.821347;3.6506922;7.726149;0.6616189;0.6083463;0.9614347;3.35628;65.91885;0.9539717;0.0;0;;;;;;;;;;;;;;;;
6319;520.0653;46.7278;2.5874135;2.4140818;44.42505;3.831047;1.0482335;3.6732974;6.237096;9.956275;3.0352204;23.163778;2.1423762;2.4951982;0.28562966;0.981052;2.4501436;3.0352204;18.654202;1.9669836;0.98867035;0.981052;3.1954322;52.501617;1.0425215;0.0;0;;;;;;;;;;;;;;;;
6320;446.1802;56.084206;9.8517885;3.6711276;39.90144;1.1351843;2.0921946;2.781611;9.240549;8.845533;9.148209;18.096523;0.9915475;1.031536;2.781611;5.487512;0.607718;7.235593;9.048262;0.9915475;0.6291611;0.7912129;6.0128164;20.961308;0.9535838;0.0;0;;;;;;;;;;;;;;;;
6321;475.70132;53.0887;3.7401352;8.815177;39.41318;8.156044;1.0139989;1.6775539;8.866554;6.5198264;1.549303;14.556068;1.5722;2.3131661;0.2586684;7.813943;1.0480087;1.549303;7.278034;0.8627141;1.8861436;0.5237458;1.1621614;67.7344;0.9744487;0.0;0;;;;;;;;;;;;;;;;
6322;573.0481;44.014103;4.8064885;1.7085098;41.264076;1.3350277;1.7415414;3.3861442;6.0750613;5.627478;8.617087;17.472744;0.9371904;1.3061851;3.3861442;1.2261045;5.627478;4.3657985;3.6504333;0.9371904;1.7043433;1.2261045;2.136428;5.625577;1.0261004;0.0;0;;;;;;;;;;;;;;;;
6323;421.9805;52.19822;1.5882018;7.8380504;46.367237;1.9295318;0.74247533;9.727799;6.3704557;7.39259;5.281472;23.681364;1.0358913;1.5547589;9.486266;6.3704557;5.5819035;3.7352285;1.6898066;0.8266339;2.291357;1.8824737;5.9434237;197.33502;0.9701905;0.0;0;;;;;;;;;;;;;;;;
6324;519.5151;42.823322;8.082906;1.7884973;42.948647;6.2598653;1.3389533;1.3981255;2.2177484;0.18017074;7.372328;21.350548;0.5699268;1.0637959;1.290287;2.2177484;0.18017074;4.2139096;9.141582;0.5699268;1.3964655;2.2177484;6.89418;123.57397;0.99296576;0.0;0;;;;;;;;;;;;;;;;
6325;436.85742;49.937496;4.981262;3.5628457;32.879658;7.7879944;2.314807;9.367597;7.496848;1.2575202;8.535552;15.946593;1.454162;1.2243668;5.832583;5.3313346;1.2575202;3.853537;9.479778;1.454162;1.5539387;0.82122797;8.100484;145.359;1.0274116;0.0;0;;;;;;;;;;;;;;;;
6326;569.3079;51.66915;1.6953208;6.199953;32.808155;4.621394;0.53986204;5.785711;8.215064;0.5159498;3.1732247;27.204939;1.809869;2.3953485;0.46435356;8.054209;0.5159498;2.790687;18.046621;1.4670132;0.87114936;0.5766438;7.121696;175.91246;1.0115372;0.0;0;;;;;;;;;;;;;;;;
6327;515.8088;52.71368;5.2037716;0.9301518;38.317963;6.260364;0.8075004;6.779978;9.923861;8.135695;1.6966534;26.407427;2.1678572;1.8574619;1.801425;8.593544;8.135695;1.6966534;9.95837;1.2551744;1.2150036;1.5931325;2.3368664;5.305201;1.0075583;0.0;0;-14.11401762396371;-6.706838524473596;16.636977512392118;7.267987249961948;3.3860673982315785;3.7639791136917964;0.4725815588785165;0.399714145238889;0.3170731707317073;0.12195121951219512;0.04878048780487805;0.28368574093710064;-0.28368574093710064;-0.5948595308858351;0.5948595308858351;0.5082625832582517
6328;480.60977;42.905243;7.390799;7.04589;43.181847;9.760167;1.7783872;7.977186;2.2859883;1.5830946;9.014645;10.848085;2.4884121;0.66995424;6.0149446;2.2859883;1.5830946;3.4742458;5.4240427;1.206879;1.556518;2.2859883;1.3513675;118.08469;0.9642798;0.0;0;;;;;;;;;;;;;;;;
6329;449.96494;41.911972;5.2046447;3.777376;37.822166;3.459761;2.0898936;0.5375191;5.5997334;9.196583;2.4919686;25.627897;1.7973452;0.754766;0.5375191;1.8069156;7.9199924;2.4919686;1.5514299;1.3357629;1.8204277;1.8069156;9.813549;218.3215;0.9573021;0.0;0;;;;;;;;;;;;;;;;
6330;487.36893;45.174164;9.714558;7.71199;37.63489;1.3001395;1.3741268;9.746265;9.717627;6.054079;2.5024478;21.361038;1.274048;2.1280065;6.1147513;8.26908;6.054079;2.5024478;4.7101316;0.9059126;1.0915766;2.06746;4.2743025;11.455452;0.960685;0.0;0;;;;;;;;;;;;;;;;
6331;591.52246;52.1406;8.83214;9.774654;47.90898;2.9190502;2.0249703;7.6209826;7.2242026;9.962366;4.6490183;11.298412;1.5737634;2.2598877;2.9194481;3.571817;5.74492;4.6490183;5.649206;1.4906738;0.66945004;2.2863128;6.0425315;214.2811;0.96976715;0.0;0;;;;;;;;;;;;;;;;
6332;501.84186;58.633656;5.5847435;4.6900506;47.36447;4.962888;2.446515;8.040014;3.3850296;7.2666245;1.400199;19.2937;1.8670876;2.3322656;3.5161145;3.3850296;7.2666245;1.400199;14.265837;1.8670876;1.9000729;1.5240786;1.7687267;219.10536;1.0048959;0.0;0;;;;;;;;;;;;;;;;
6333;493.89792;55.58247;9.45862;1.1729627;39.51324;7.9740133;1.8909614;4.3142223;0.54254735;0.96618396;3.4714499;10.074831;0.8920095;1.1953979;4.3142223;0.54254735;0.96618396;3.4714499;5.0374155;0.8920095;0.7920918;0.54254735;2.600345;109.88729;1.0044788;0.0;0;;;;;;;;;;;;;;;;
6334;549.25476;54.91421;8.283629;8.624913;44.36568;4.7152133;1.3857406;6.011843;9.786786;4.9263945;5.409927;29.35263;1.7847623;2.0285819;2.7000823;4.7556877;4.1234856;0.9224112;1.4501789;1.7847623;2.0531247;0.9860157;5.597059;135.98639;1.0224794;0.0;0;;;;;;;;;;;;;;;;
6335;475.80942;46.60465;4.251257;3.398663;39.04191;6.259122;1.7603513;5.6575623;6.4467683;1.8034558;8.601033;24.414572;1.5465528;0.6441557;5.6575623;3.9740472;1.8034558;7.4251;2.941388;1.5465528;0.79392576;2.116888;9.911874;53.667103;0.9506463;0.0;0;;;;;;;;;;;;;;;;
6336;485.4848;42.234146;7.9198294;2.25241;42.062775;6.048858;1.1130477;1.0711701;8.226292;0.89635575;0.78068113;27.657467;1.3786082;0.8398968;1.0711701;2.2023735;0.89635575;0.78068113;14.779765;1.3786082;0.63117623;1.0828185;4.5019426;94.53022;1.0059346;0.0;0;;;;;;;;;;;;;;;;
6337;467.38956;57.838787;5.5032563;8.900829;35.490227;5.3392324;0.6912709;2.0169456;0.88653153;6.0158286;9.13722;20.316275;1.8910006;0.55434763;2.0169456;0.88653153;2.3675966;4.3136716;4.0416007;1.1963844;1.081716;0.88653153;6.1742125;205.52231;1.0462029;0.0;0;;;;;;;;;;;;;;;;
6338;430.18396;50.01707;5.805917;3.0160203;39.950703;2.3470516;0.79025644;7.7100015;5.8184257;3.640772;4.802995;28.262177;2.3470516;1.4898407;7.5828204;1.8500266;3.640772;1.7162629;19.918865;1.5568491;1.3099315;1.8500266;1.1130921;76.38764;1.0408484;0.0;0;;;;;;;;;;;;;;;;
6339;542.76184;42.010216;5.6376514;6.4080963;42.85078;1.5189829;1.3751696;4.992801;9.214187;4.572228;8.264532;14.366987;1.5189829;0.7409631;4.992801;8.438211;3.150038;4.4477735;6.060359;1.5189829;1.9364057;1.7008903;8.546452;191.44473;0.99134624;0.0;0;;;;;;;;;;;;;;;;
