[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[m];
-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;rch;offset;complete
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;0.5;0.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.1;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.2;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.3;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.4;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.5;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.6;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.7;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.8;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;0.9;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;1.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;1.5;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;2.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;2.5;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;5.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;10.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.333;1.0;1.0;1.0;1.0;20.0;0
53.365726;328.88495;170.31139;46.677067;166.81085;77.61252;6.2969294;1.9689736;0.49369332;0.39876366;1.9491928;166.81085;16.491331;5.9297175;0.64781874;0.49369332;0.39876366;1.0372366;51.058887;16.491331;9.332826;0.49369332;1.232895;0.0;0
162.7466;596.0829;880.4871;66.10443;696.0772;28.485174;3.404437;0.50345564;1.0177294;0.8448498;1.3163677;266.5395;28.485174;1.3236401;0.50345564;0.9093351;0.8448498;0.94177085;54.87677;28.485174;9.618884;0.19006;0.929079;0.0;0
686.21844;35.27652;653.9521;58.821495;287.30783;15.030577;8.679353;0.20032398;1.4935898;1.0014062;0.9304955;287.30783;3.8126888;6.162784;0.20032398;1.4935898;1.0014062;0.9304955;19.132717;3.8126888;1.1985326;1.1832947;1.0974947;0.0;0
