model_run;c;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
4859;27.878231;1.0001632;0.0;0;-52.46516883115567;-19.571415620333767;52.63508623439415;19.571415620333767;-1.0367308826233599;0.20044593143431833;0.18531554452469942;0.04878048780487805
4860;50.544712;0.8265684;0.0;0;-53.351672125352486;-19.745753482532166;53.490972391081726;19.745753482532166;-1.0257175673307937;0.20044593143431833;0.18531554452469942;0.04878048780487805
4861;88.62297;1.0003021;0.0;0;-53.60777501963295;-19.85387993390526;53.7545767062438;19.85387993390526;-1.0284159095022807;0.20044593143431833;0.18531554452469937;0.04878048780487805
4862;27.151228;0.7799689;0.0;0;-53.370854957415595;-19.574501147856267;53.55997518157941;19.574501147856267;-1.0436383448671376;0.20044593143431833;0.18531554452469942;0.04878048780487805
4863;77.52138;1.2129292;0.0;0;-53.6739419857015;-19.934759156482954;53.806485145824745;19.934759156482954;-1.0232869634089992;0.20044593143431833;0.18531554452469942;0.04878048780487805
4864;66.22467;0.77901375;0.0;0;-53.64998463703049;-19.889838789202656;53.80095297433095;19.889838789202656;-1.0299146987912768;0.20044593143431833;0.18531554452469937;0.04878048780487805
4865;11.535924;0.9617651;0.0;0;-50.099038841417;-18.732429395611717;50.35474231861828;18.732429395611717;-1.0675890606610348;0.20044593143431833;0.18531554452469937;0.024390243902439025
4866;29.344584;0.7502855;0.0;0;-52.88729681026855;-19.57393275883419;53.069657810471696;19.57393275883419;-1.0412069789502716;0.20044593143431833;0.18531554452469937;0.04878048780487805
4867;23.794025;1.1430752;0.0;0;-51.655477361693066;-19.23745267360283;51.8737090977628;19.23745267360283;-1.0541100703563797;0.20044593143431833;0.18531554452469942;0.04878048780487805
4868;44.258335;0.8330851;0.0;0;-54.41769160693723;-19.933274154798426;54.41769160693723;19.933274154798426;-1.0;;;0.04878048780487805
4869;63.53707;1.212458;0.0;0;-53.26357244659679;-19.630236612700827;53.4350929762608;19.630236612700827;-1.0373075445262847;0.20044593143431833;0.18531554452469937;0.04878048780487805
4870;43.34764;0.77198887;0.0;0;-53.56179299142904;-19.77093853996641;53.70323911177017;19.77093853996641;-1.0264894544285261;0.20044593143431833;0.18531554452469937;0.04878048780487805
4871;24.461212;1.1603937;0.0;0;-51.8337335336892;-19.39515256094336;52.025155017051375;19.39515256094336;-1.0444661326743365;0.20044593143431833;0.18531554452469937;0.04878048780487805
4872;69.59092;1.078319;0.0;0;-53.43781068124391;-19.740997222731636;53.60778815870119;19.740997222731636;-1.036752491969187;0.20044593143431833;0.18531554452469942;0.04878048780487805
4873;58.451263;0.87486786;0.0;0;-53.51587498023812;-19.76187635620809;53.71674034632283;19.76187635620809;-1.0478631993654282;0.20044593143431833;0.18531554452469937;0.04878048780487805
4874;51.9362;0.8512098;0.0;0;-53.36622948992683;-19.708966252832255;53.512254376575726;19.708966252832255;-1.0281364861597933;0.20044593143431833;0.18531554452469942;0.04878048780487805
4875;55.446415;0.92883897;0.0;0;-53.319911055305525;-19.731813079439803;53.459861278348534;19.731813079439803;-1.0259513640017268;0.20044593143431833;0.18531554452469942;0.04878048780487805
4876;22.197845;1.1642015;0.0;0;-51.602190007279205;-19.166680056178734;51.83149867741078;19.166680056178734;-1.0580945632653405;0.20044593143431833;0.18531554452469937;0.04878048780487805
4877;68.0463;1.1809783;0.0;0;-53.26801386359209;-19.62125108235918;53.426631702495;19.62125108235918;-1.0326663071986084;0.20044593143431833;0.18531554452469937;0.04878048780487805
4878;38.75618;0.83764267;0.0;0;-53.07921999840963;-19.573706138741414;53.25041721400786;19.573706138741414;-1.0371912449622336;0.20044593143431833;0.18531554452469937;0.04878048780487805
4879;36.353146;0.926724;0.0;0;-52.8910449277571;-19.573359805932512;53.07078287978548;19.573359805932512;-1.040263440170148;0.20044593143431833;0.18531554452469942;0.04878048780487805
4880;14.981923;0.8687457;0.0;0;-51.01107702943447;-18.981440652221778;51.24791293581318;18.981440652221778;-1.0608021915028385;0.20044593143431833;0.18531554452469937;0.04878048780487805
4881;59.687763;0.81132144;0.0;0;-53.34064443652116;-19.70177809277854;53.5054147372892;19.70177809277854;-1.034879414231422;0.20044593143431833;0.18531554452469937;0.04878048780487805
4882;60.270416;1.0732247;0.0;0;-53.43686829072895;-19.73320546569491;53.602445072067404;19.73320546569491;-1.0351695140095807;0.20044593143431833;0.18531554452469942;0.04878048780487805
4883;34.036663;0.9229355;0.0;0;-53.10617875988107;-19.74977165902439;53.261360236789784;19.74977165902439;-1.0314302106467947;0.20044593143431833;0.18531554452469937;0.04878048780487805
4884;85.986404;0.862692;0.0;0;-53.65558027425862;-19.91800347018585;53.78536629564647;19.91800347018585;-1.0222951908048792;0.20044593143431833;0.18531554452469937;0.04878048780487805
4885;84.54733;1.1829989;0.0;0;-53.95782831557657;-19.935044414564317;54.1163293510944;19.935044414564317;-1.0326242917585078;0.20044593143431833;0.18531554452469937;0.04878048780487805
4886;10.91434;1.124159;0.0;0;-49.01632775697078;-18.652900314587413;49.31354050377257;18.652900314587413;-1.0825203935962808;0.20044593143431833;0.18531554452469942;0.024390243902439025
4887;69.50689;1.1368805;0.0;0;-53.4043480852833;-19.710151757139812;53.588237339329304;19.710151757139812;-1.0417567083759347;0.20044593143431833;0.18531554452469937;0.04878048780487805
4888;39.389538;0.76959795;0.0;0;-52.87142847976921;-19.57357431052398;53.04585278882294;19.57357431052398;-1.0383520653587601;0.20044593143431833;0.18531554452469937;0.04878048780487805
4889;99.97149;1.2075652;0.0;0;-53.67523858035399;-19.93475773688573;53.80900118786261;19.93475773688573;-1.0237256118141227;0.20044593143431833;0.18531554452469937;0.04878048780487805
4890;22.510113;1.0373691;0.0;0;-51.938607111862396;-19.443891478685856;52.183702567070014;19.443891478685856;-1.0637732404913216;0.20044593143431833;0.18531554452469942;0.024390243902439025
4891;28.059616;1.0019014;0.0;0;-51.40145840558986;-19.074838772863245;51.619439786921966;19.074838772863245;-1.054020015051258;0.20044593143431833;0.18531554452469937;0.04878048780487805
4892;44.21621;0.75529265;0.0;0;-53.31458210030007;-19.662795297947724;53.473440607582546;19.662795297947724;-1.0327528782160462;0.20044593143431833;0.18531554452469942;0.04878048780487805
