model_run;c;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
2476;14.30931;0.99007124;0.0;0;-35.70270521454502;-19.04294203237302;35.85658982934066;19.04294203237302;-1.0297129335887887;0.20179252118611385;0.18967942390624515;0.07692307692307693
2477;19.310589;0.887292;0.0;0;-33.2858726865481;-17.167294718313343;33.93062415968413;17.167294718313343;-1.2062830481510782;0.20179252118611385;0.18967942390624518;0.07692307692307693
2478;37.34462;0.962278;0.0;0;-35.76721674666525;-19.588128806508365;36.08263822604698;19.588128806508365;-1.0878194897788611;0.20179252118611385;0.18967942390624515;0.02564102564102564
2479;94.414925;1.2041686;0.0;0;-36.38396383580039;-19.588319229175454;36.66020501243099;19.588319229175454;-1.0737259113923652;0.20179252118611385;0.18967942390624515;0.02564102564102564
2480;50.520287;1.0014471;0.0;0;-36.15629587312446;-19.586573874561708;36.39254654821359;19.586573874561708;-1.0593408957438146;0.20179252118611385;0.18967942390624515;0.05128205128205128
2481;23.491669;1.2081932;0.0;0;-34.66120873544647;-19.44968006323822;34.98125488494596;19.44968006323822;-1.0894830336067447;0.20179252118611385;0.18967942390624515;0.02564102564102564
2482;10.583957;1.0250635;0.0;0;-32.52623720083959;-18.1667692207364;32.958125106213124;18.1667692207364;-1.1297137220551268;0.20179252118611385;0.18967942390624515;0.07692307692307693
2483;33.83717;1.1344086;0.0;0;-35.42627700975908;-19.587423622436972;35.749557794335296;19.587423622436972;-1.0906465668059377;0.20179252118611385;0.18967942390624523;0.02564102564102564
2484;81.574905;0.89679563;0.0;0;-36.71957493483928;-19.585262383582744;36.897558025712904;19.585262383582744;-1.0383814159064813;0.20179252118611385;0.1896794239062452;0.05128205128205128
2485;38.340446;1.1452067;0.0;0;-35.632292065368446;-19.58723877628259;35.93431275718812;19.58723877628259;-1.082999081648112;0.20179252118611385;0.18967942390624515;0.02564102564102564
2486;77.25285;0.8821608;0.0;0;-37.33471670515796;-19.57341281447873;37.4562364655383;19.57341281447873;-1.0180709456346178;0.20179252118611385;0.18967942390624515;0.05128205128205128
2487;80.27247;0.759775;0.0;0;-36.506024851931684;-19.589701968372935;36.76430808891788;19.589701968372935;-1.0672662464008524;0.20179252118611385;0.18967942390624515;0.02564102564102564
2488;11.090969;0.83036447;0.0;0;-33.609572434102624;-18.963837597160506;34.00259639528078;18.963837597160506;-1.115733941260551;0.20179252118611385;0.18967942390624515;0.02564102564102564
2489;60.86989;0.7608264;0.0;0;-36.41505418110382;-19.5887791269017;36.69235330741109;19.5887791269017;-1.0741064673260927;0.20179252118611385;0.18967942390624515;0.02564102564102564
2490;95.91002;1.2235314;0.0;0;-36.46105784189323;-19.58875283646205;36.68995498620305;19.58875283646205;-1.0566957512406212;0.20179252118611385;0.18967942390624515;0.05128205128205128
2491;40.219788;1.2499886;0.0;0;-35.009765799123024;-18.672004318277914;35.471083895693745;18.672004318277914;-1.1403000799299394;0.20179252118611385;0.18967942390624515;0.05128205128205128
2492;5.1038995;1.1311151;0.0;0;-27.581657505758933;-15.91982212288238;28.087917184348537;15.91982212288238;-1.1564660527408035;0.20179252118611385;0.18967942390624515;0.10256410256410256
2493;92.33104;0.8040641;0.0;0;-36.92789738534949;-19.600838781693568;37.09658362974112;19.600838781693568;-1.0350372397403753;0.20179252118611385;0.18967942390624515;0.05128205128205128
2494;88.36779;1.1994728;0.0;0;-36.296819753114455;-19.58900107054035;36.59687481978296;19.58900107054035;-1.0822920250354462;0.20179252118611385;0.18967942390624515;0.02564102564102564
2495;52.21892;1.121888;0.0;0;-35.488654346587154;-19.423383172961564;35.90802439612431;19.423383172961564;-1.1252109140094257;0.20179252118611385;0.18967942390624515;0.02564102564102564
2496;55.22979;0.91612226;0.0;0;-36.22284434457;-19.588431633711053;36.50603613910724;19.588431633711053;-1.0762261237803084;0.20179252118611385;0.18967942390624523;0.02564102564102564
2497;21.181993;1.0011389;0.0;0;-34.896166625306314;-19.35118112083623;35.19523364095038;19.35118112083623;-1.0819366124024365;0.20179252118611385;0.18967942390624515;0.02564102564102564
2498;81.946884;1.0808797;0.0;0;-36.40698751695534;-19.587705486055228;36.671704696142164;19.587705486055228;-1.069580604952767;0.20179252118611385;0.18967942390624515;0.02564102564102564
2499;49.865017;0.76202524;0.0;0;-36.14890759841294;-19.589558357431912;36.47829133787552;19.589558357431912;-1.0928418656433843;0.20179252118611385;0.18967942390624515;0.02564102564102564
2500;3.3974407;1.0007704;0.0;0;-23.87334532744345;-14.918223228277526;24.612393409350545;14.918223228277526;-1.2276158509485267;0.20179252118611385;0.18967942390624515;0.15384615384615385
2501;68.304665;1.1161977;0.0;0;-36.23821680173512;-19.588437846506793;36.5190869125207;19.588437846506793;-1.0753909890405227;0.20179252118611385;0.18967942390624515;0.02564102564102564
2502;95.050125;0.8441127;0.0;0;-36.88349069721732;-19.69933183678242;37.03311544830772;19.69933183678242;-1.0281806145705579;0.20179252118611385;0.18967942390624515;0.05128205128205128
2503;82.916756;0.9718953;0.0;0;-36.318083983651896;-19.602805716658395;36.60764731943783;19.602805716658395;-1.0785180360353444;0.20179252118611385;0.18967942390624515;0.02564102564102564
2504;27.727041;1.016265;0.0;0;-35.3010655849382;-19.58710883529136;35.626028285016886;19.58710883529136;-1.0912515699914485;0.20179252118611385;0.18967942390624515;0.02564102564102564
2505;5.341975;1.1177827;0.0;0;-28.38082526179381;-16.312781197012498;28.834941221277393;16.312781197012498;-1.137709393374182;0.20179252118611385;0.18967942390624515;0.10256410256410256
2506;94.035736;1.2322268;0.0;0;-36.6731973966444;-19.582034167506038;36.834341124410756;19.582034167506038;-1.0323241149857012;0.20179252118611385;0.18967942390624515;0.05128205128205128
2507;93.7069;1.1741378;0.0;0;-36.58056933524185;-19.584913152763704;36.781004810902715;19.584913152763704;-1.0464577813948444;0.20179252118611385;0.18967942390624518;0.05128205128205128
2508;53.24621;1.0607592;0.0;0;-32.47174514726406;-17.338385222705455;33.80738486763761;17.588678618371148;-1.4304287391248753;0.2991688517571227;0.22777846504811916;0.10256410256410256
2509;64.23532;1.0418203;0.0;0;-37.79692649788924;-19.56119182615069;37.81053962157927;19.56119182615069;-1.0;;;0.07692307692307693
