model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;kf_riv;rhk;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;RABIAS;r_rank;r_lin;n_5m;n_3m;n_1m;MAE_sfr;ME_sfr;RBIAS_sfr;RABIAS_sfr;E_multi
191;448.19412;71.18816;7.1227727;1.9737682;56.53372;4.1028876;0.63479644;1.6066375;1.6414086;0.9752482;1.9811178;52.79294;1.5546573;1.845569;1.0856606;0.5420169;0.9752482;1.60501;46.40776;0.5239794;1.5481684;0.5420169;2.637745;0.009964538;1.0309283;0.0;0;;;;;;;;;;;;;;;;
192;424.55157;73.04814;6.9139967;8.9993515;53.488148;3.5069113;1.7289563;0.64166206;1.8212657;0.53577477;1.4746854;51.85509;1.0285408;0.5851965;0.64166206;0.59531623;0.53577477;0.75971204;49.538734;0.71338445;1.8690727;0.59531623;1.8309343;0.009189356;0.9949556;0.0;0;;;;;;;;;;;;;;;;
193;566.22253;74.714775;6.2043233;8.5319805;56.62236;9.220626;1.2474759;1.0922915;1.3324096;1.0567936;1.7700282;54.99963;0.96501094;1.1244907;1.0486611;1.3324096;0.87461376;1.016664;46.511997;0.96501094;1.1079195;1.3324096;2.9157412;0.009868419;1.015311;0.0;0;;;;;;;;;;;;;;;;
194;430.65686;70.00449;5.7087007;2.6201043;50.090855;3.8266294;1.5313057;1.4712445;1.3443315;0.8333446;1.7901157;50.090855;1.6601264;1.9168447;1.4712445;1.2728429;0.8333446;1.3042915;41.461452;0.7368848;1.4980537;0.594732;3.0653148;0.009936589;0.9824963;0.0;0;;;;;;;;;;;;;;;;
195;435.85367;79.20953;7.322233;9.40252;52.632504;2.0102499;1.6966075;1.5615582;1.6171016;1.2812327;1.9931918;52.632504;1.9448053;1.9853373;0.5326209;0.9096162;0.6030631;1.0985256;31.687994;0.8003983;0.60042477;0.9096162;1.6129051;0.009378579;0.9937814;0.0;0;;;;;;;;;;;;;;;;
196;519.8766;70.99099;4.5676374;7.398301;51.236;6.532764;1.1133686;0.6149601;1.0263643;1.5387212;0.8807955;51.236;1.084687;1.6507354;0.6149601;0.5574564;1.5387212;0.59865224;44.968864;1.084687;0.54926616;0.5574564;4.7430305;0.009240486;1.0107493;0.0;0;;;;;;;;;;;;;;;;
197;574.9124;76.82471;1.525791;8.023638;54.55263;3.4643328;1.1760714;1.8222264;1.4922297;0.5919952;1.2173947;52.874756;1.7831972;0.55217284;0.5492784;1.4922297;0.5919952;1.1520356;32.58632;0.6945675;0.6447688;1.4072231;2.9886453;0.009698747;1.0456238;0.0;0;;;;;;;;;;;;;;;;
198;439.28693;76.28866;5.790836;5.078171;51.45823;5.631627;0.8803493;0.634234;1.1343071;1.5678666;1.0992857;50.095295;1.3642627;0.57436764;0.634234;1.1343071;0.81875956;1.0992857;34.12759;0.7321049;1.2033567;0.6229588;2.4500995;0.00934288;1.0289366;0.0;0;;;;;;;;;;;;;;;;
199;462.06473;78.09064;7.4834456;2.7262216;55.47371;7.8886805;1.5714774;1.2698777;1.8827373;0.533893;1.5499448;50.67206;1.8458776;1.3942116;1.2698777;0.98041415;0.533893;1.3582333;34.781597;1.5194802;0.8800818;0.98041415;3.8245857;0.009523376;1.0036145;0.0;0;;;;;;;;;;;;;;;;
200;555.48096;76.51388;3.6223552;8.171858;51.806652;6.0466795;1.7483907;1.733363;1.0336728;1.5255476;1.4517123;51.806652;1.9124651;0.71667653;1.6384691;1.0336728;0.91967654;0.901952;32.22624;1.2407675;1.381921;1.0336728;4.3116403;0.009296004;0.98534214;0.0;0;;;;;;;;;;;;;;;;
